"Day","Tierkidi sim","Tierkidi data","Tierkidi error","Kakuma sim","Kakuma data","Kakuma error","Khartoum sim","Khartoum data","Khartoum error","West_Kordofan sim","West_Kordofan data","West_Kordofan error","Adjumani sim","Adjumani data","Adjumani error","Rhino sim","Rhino data","Rhino error","Kiryandongo sim","Kiryandongo data","Kiryandongo error","Total error","refugees in camps (UNHCR)","total refugees (simulation)","raw UNHCR refugee count","refugees in camps (simulation)","refugee_debt"
13,0,0,0,129,734,0.824250681199,0,6,1,0,608,1,734,9027,0.918688379307,508,1191,0.573467674223,176,643,0.726283048212,0.873454009337374,12209,12209,12209,1549,0
14,0,0,0,174,894,0.805369127517,0,6,1,0,655,1,850,9721,0.912560436169,586,1471,0.601631543168,213,692,0.692196531792,0.864498846640375,13439,13439,13439,1825,0
15,0,0,0,222,1056,0.789772727273,0,7,1,0,702,1,970,10416,0.906874039939,683,1737,0.606793321819,244,710,0.656338028169,0.855277549904293,14628,14628,14628,2121,0
16,0,0,0,267,1323,0.798185941043,0,7,1,0,749,1,1105,11110,0.900540054005,771,2637,0.707622298066,277,726,0.618457300275,0.853914934751087,16552,16552,16552,2422,0
17,0,0,0,309,1616,0.808787128713,0,8,1,0,796,1,1251,11805,0.894027954257,874,2369,0.631067961165,306,793,0.614123581337,0.842641053660781,17387,17387,17387,2744,0
18,0,0,0,347,2044,0.830234833659,0,8,1,0,843,1,1393,12499,0.888551084087,976,2690,0.63717472119,334,918,0.636165577342,0.839753710135775,19002,19002,19002,3055,0
19,0,0,0,414,2145,0.806993006993,1,9,0.888888888889,0,889,1,1572,13193,0.88084590313,1095,3016,0.636936339523,390,1003,0.611166500499,0.829029869168107,20255,20255,20255,3481,0
20,0,0,0,472,2523,0.812921125644,1,9,0.888888888889,0,936,1,1774,13888,0.872263824885,1220,3251,0.624730852046,438,1070,0.590654205607,0.820500991834664,21677,21677,21677,3919,0
21,0,0,0,565,2993,0.811226194454,1,10,0.9,0,983,1,1954,14582,0.865999177068,1351,3590,0.623676880223,489,1097,0.554238833181,0.813287465061277,23255,23255,23255,4378,0
22,0,0,0,664,3638,0.81748213304,1,10,0.9,0,1030,1,2109,15277,0.861949335603,1485,3715,0.600269179004,533,1187,0.550968828981,0.808182805648308,24857,24857,24857,4816,0
23,0,0,0,796,4271,0.813626785296,1,11,0.909090909091,0,1077,1,2321,15971,0.8546740968,1660,3759,0.558393189678,585,1313,0.554455445545,0.798045602605863,26402,26402,26402,5394,0
24,0,0,0,913,4888,0.81321603928,1,11,0.909090909091,0,1124,1,2520,16665,0.848784878488,1820,3854,0.52776336274,636,1419,0.551797040169,0.790780015020922,27961,27961,27961,5930,0
25,0,0,0,1033,5640,0.816843971631,1,37,0.972972972973,0,1170,1,2762,17360,0.840898617512,1968,4003,0.508368723457,692,1448,0.522099447514,0.783970598152269,29658,29658,29658,6505,0
26,0,0,0,1153,6162,0.812885426809,1,63,0.984126984127,0,1217,1,2988,18054,0.834496510469,2133,4082,0.477462028417,757,1484,0.489892183288,0.775642263859378,31062,31062,31062,7095,0
27,0,0,0,1276,6729,0.810373012335,2,89,0.977528089888,0,1264,1,3180,18749,0.830390954184,2304,4161,0.446286950252,804,1498,0.463284379172,0.769806094182826,32490,32490,32490,7653,0
28,0,0,0,1436,7093,0.797546877203,2,115,0.982608695652,2,1311,0.998474446987,3395,19443,0.825387028751,2497,4240,0.41108490566,858,1508,0.431034482759,0.760160189854642,33710,33710,33710,8295,0
29,0,0,0,1543,7532,0.795140732873,2,118,0.983050847458,8,1358,0.9941089838,3625,20137,0.819983115658,2645,4319,0.387589719843,905,1520,0.404605263158,0.754030413903499,34984,34984,34984,8851,0
30,0,0,0,1680,8274,0.796954314721,2,121,0.98347107438,17,1405,0.987900355872,3854,20832,0.814996159754,2822,4398,0.358344702137,964,1525,0.367868852459,0.748351798659554,36555,36555,36555,9479,0
31,0,0,0,1847,8661,0.78674517954,3,123,0.975609756098,27,1452,0.981404958678,4077,21526,0.810601133513,2971,4477,0.33638597275,1022,1754,0.417331812999,0.742347274497934,37993,37993,37993,10105,0
32,0,0,0,1985,9125,0.782465753425,3,126,0.97619047619,39,1498,0.973965287049,4319,22221,0.805634309887,3138,4556,0.311237928007,1069,1983,0.460917801311,0.737604090207295,39509,39509,39509,10739,0
33,0,0,0,2144,9389,0.771647672809,3,126,0.97619047619,60,1545,0.961165048544,4558,22915,0.801090988436,3308,4635,0.286299892125,1114,2213,0.496610935382,0.731107463929648,40823,40823,40823,11397,0
34,0,0,0,2278,9854,0.768824842703,3,126,0.97619047619,71,1592,0.95540201005,4757,23610,0.798517577298,3469,4713,0.263950774454,1173,2442,0.519656019656,0.727897583673855,42337,42337,42337,11982,0
35,0,0,0,2428,10158,0.760976570191,3,126,0.97619047619,91,1639,0.944478340451,4991,24304,0.794642857143,3625,4792,0.243530884808,1230,2671,0.539498315238,0.723117418173495,43690,43690,43690,12639,0
36,0,0,0,2566,10622,0.758425908492,3,126,0.97619047619,117,1686,0.930604982206,5265,24998,0.789383150652,3777,4871,0.224594539109,1292,2900,0.554482758621,0.718890339136783,45203,45203,45203,13333,0
37,0,0,0,2735,10708,0.74458348898,3,126,0.97619047619,140,1733,0.919215233699,5513,25693,0.785427937571,3942,4950,0.203636363636,1338,3129,0.572387344199,0.712402080321112,46339,46339,46339,14015,0
38,0,0,0,2866,11114,0.742127046968,3,126,0.97619047619,175,1779,0.901630129286,5729,26387,0.782885511805,4106,5029,0.183535494134,1383,3358,0.588147706968,0.709559977402548,47793,47793,47793,14643,0
39,0,0,0,3042,11574,0.737169517885,3,126,0.97619047619,202,1826,0.889375684556,5961,27082,0.779890702311,4276,5108,0.162881754111,1437,3588,0.599498327759,0.705946779165991,49304,49304,49304,15344,0
40,0,0,0,3208,11728,0.726466575716,4,126,0.968253968254,231,1873,0.876668446343,6180,27776,0.777505760369,4427,5187,0.14652014652,1484,3817,0.611212994498,0.701585918783535,50507,50507,50507,15996,0
41,0,0,0,3385,12088,0.719970218398,4,126,0.968253968254,271,1920,0.858854166667,6415,28470,0.774675096593,4600,5266,0.126471705279,1532,4046,0.621354424123,0.697588412050235,51916,51916,51916,16714,0
42,0,0,0,3542,12387,0.714055057722,4,126,0.968253968254,302,1967,0.846466700559,6630,29165,0.772672724156,4785,5345,0.104770813845,1570,4275,0.632748538012,0.694189430207453,53265,53265,53265,17377,0
43,0,0,0,3711,12618,0.705896338564,4,155,0.974193548387,344,2014,0.829195630586,6843,29859,0.770822867477,4968,5423,0.0839018993177,1635,4504,0.636989342806,0.690029868249867,54573,54573,54573,18094,0
44,0,0,0,3888,12891,0.698394228532,4,184,0.978260869565,384,2060,0.81359223301,7066,30554,0.768737317536,5143,5502,0.0652490003635,1693,4733,0.642298753433,0.686538874186396,55924,55924,55924,18826,0
45,0,0,0,4057,13216,0.693023607748,4,213,0.981220657277,417,2107,0.802088277171,7300,31248,0.766385048643,5325,5581,0.0458699157857,1751,4963,0.647189200081,0.683296120569355,57328,57328,57328,19552,0
46,0,0,0,4211,13515,0.68842027377,5,227,0.977973568282,476,2154,0.779015784587,7519,31943,0.764611965063,5485,5660,0.0309187279152,1815,5192,0.650423728814,0.680189466868856,58691,58691,58691,20252,0
47,0,0,0,4375,13855,0.684229520029,6,240,0.975,520,2201,0.76374375284,7751,32637,0.76250880902,5677,5739,0.010803275832,1866,5421,0.655783065855,0.67711713510725,60093,60093,60093,20987,0
48,0,0,0,4549,14277,0.68137563914,7,254,0.972440944882,573,2248,0.745106761566,7949,33331,0.761513305931,5854,5818,0.00618769336542,1934,5650,0.657699115044,0.675851654596824,61586,61586,61586,21713,0
49,0,0,0,4711,14469,0.674407353653,8,268,0.970149253731,613,2295,0.732897603486,8174,34026,0.759771939105,6034,5897,0.0232321519417,1999,5879,0.659976186426,0.675502378641549,62851,62851,62851,22443,0
50,0,0,0,4883,14652,0.666734916735,8,281,0.97153024911,658,2341,0.71892353695,8402,34720,0.758006912442,6194,5976,0.0364792503347,2059,6108,0.662901113294,0.674419692998877,64104,64104,64104,23153,0
51,0,0,0,5100,15107,0.66240815516,10,295,0.966101694915,707,2388,0.703936348409,8641,35415,0.756007341522,6386,6055,0.0546655656482,2112,6338,0.666771852319,0.674762311067772,65632,65632,65632,23972,0
52,0,0,0,5285,15402,0.656862745098,12,295,0.959322033898,765,2435,0.685831622177,8866,36109,0.754465645684,6552,6133,0.0683189303767,2164,6567,0.670473580021,0.674310283052669,66984,66984,66984,24720,0
53,0,0,0,5476,15676,0.650676192906,12,296,0.959459459459,807,2482,0.67485898469,9088,36803,0.753063608945,6725,6212,0.0825820991629,2225,6796,0.672601530312,0.673668340237423,68317,68317,68317,25450,0
54,0,0,0,5679,16051,0.646190268519,15,297,0.949494949495,861,2529,0.659549228944,9307,37498,0.751800096005,6921,6291,0.100143061516,2269,7025,0.677010676157,0.674097862396238,69751,69751,69751,26232,0
55,0,0,0,5826,16365,0.643996333639,16,298,0.946308724832,914,2576,0.645186335404,9519,38192,0.750759321324,7090,6370,0.113029827316,2320,7254,0.68017645437,0.674680839097913,71124,71124,71124,26930,0
56,0,0,0,5981,16745,0.642818751866,20,298,0.93288590604,964,2623,0.632481890965,9785,38887,0.748373492427,7251,6449,0.124360365948,2387,7483,0.681010289991,0.674283036809393,72563,72563,72563,27693,0
57,0,0,0,6142,16984,0.63836552049,21,299,0.929765886288,1008,2669,0.622330460847,10021,39581,0.746822970617,7424,6528,0.137254901961,2438,7713,0.683910281343,0.674207961007311,73860,73860,73860,28425,0
58,0,0,0,6446,17155,0.624249489945,21,398,0.947236180905,1067,2716,0.607142857143,10256,40275,0.745350713842,7596,6607,0.149689723021,2491,7942,0.686351045077,0.672062031175187,75188,75188,75188,29309,0
59,0,0,0,6724,17400,0.613563218391,23,406,0.943349753695,1122,2656,0.577560240964,10469,40970,0.744471564559,7775,6686,0.162877654801,2546,8171,0.688410231306,0.669043009627459,76448,76448,76448,30157,0
60,0,0,0,6990,17547,0.601641306206,28,414,0.932367149758,1194,2596,0.540061633282,10712,41664,0.742895545315,7940,6765,0.173688100517,2601,8400,0.690357142857,0.666365828186847,77561,77561,77561,31053,0
61,0,0,0,7216,17917,0.597254004577,31,422,0.92654028436,1254,2536,0.505520504732,10946,42359,0.7415897448,8106,6843,0.184568171854,2658,8629,0.69196894194,0.664209539731996,78954,78954,78954,31880,0
62,0,0,0,7480,18059,0.585802093139,37,430,0.913953488372,1308,2476,0.471728594507,11160,43053,0.740784614313,8266,6922,0.19416353655,2712,8858,0.693836080379,0.662340420216354,80054,80054,80054,32719,0
63,0,0,0,7727,18304,0.577851835664,38,437,0.913043478261,1358,2416,0.437913907285,11373,43748,0.740033830118,8429,7001,0.203970861306,2775,9088,0.694652288732,0.660956459671663,81258,81258,81258,33522,0
64,0,0,0,7955,18607,0.572472725318,40,445,0.910112359551,1422,2356,0.396434634975,11578,44442,0.739480671437,8608,7080,0.21581920904,2828,9317,0.696468820436,0.660284298161635,82519,82519,82519,34317,0
65,0,0,0,8212,18741,0.561816338509,44,453,0.902869757174,1491,2296,0.350609756098,11788,45136,0.738833746898,8773,7159,0.225450481911,2877,9546,0.698617221873,0.658473866762349,83610,83610,83610,35145,0
66,0,0,0,8444,19203,0.560277040046,43,461,0.906724511931,1549,2236,0.307245080501,11994,45831,0.738299404333,8925,7238,0.233075435203,2934,9775,0.699846547315,0.658262382990733,85036,85036,85036,35928,0
67,0,0,0,8717,19507,0.553134772133,45,636,0.929245283019,1611,2236,0.279516994633,12240,46525,0.736915636754,9099,7317,0.243542435424,2984,10004,0.701719312275,0.657748757656304,86530,86530,86530,36823,0
68,0,0,0,8978,19871,0.5481857984,46,811,0.943279901356,1676,2236,0.250447227191,12469,47220,0.735938161796,9270,7396,0.253380205516,3037,10233,0.703215088439,0.657241128794243,88094,88094,88094,37663,0
69,0,0,0,9212,20002,0.539446055394,49,985,0.950253807107,1718,2236,0.231663685152,12690,47914,0.73515047794,9444,7475,0.263411371237,3078,10463,0.70582051037,0.65694891751655,89424,89424,89424,38465,0
70,0,0,0,9463,20363,0.535284584786,54,1160,0.953448275862,1778,2236,0.204830053667,12918,48608,0.734241277156,9605,7553,0.271680127102,3137,10692,0.706603067714,0.656778263832406,90982,90982,90982,39319,0
