name,lat,lon,region,country,conflict_date,population,location_type
33540688,50.8261555,3.1918913,xyz,xyz,0,0,town
33540689,50.8284826,3.189569,xyz,xyz,0,0,town
33540706,50.8299633,3.1886489,xyz,xyz,0,0,town
33540707,50.8299276,3.1854279,xyz,xyz,0,0,town
34075008,50.7921414,3.2352237,xyz,xyz,0,0,town
34075015,50.7952691,3.2210626,xyz,xyz,0,0,town
36162872,50.6339344,3.4160706,xyz,xyz,0,0,town
36162919,50.6277298,3.4160857,xyz,xyz,0,0,town
36162926,50.633637,3.4168697,xyz,xyz,0,0,town
36164776,50.6340986,3.4058429,xyz,xyz,0,0,town
46984029,50.5797059,3.4777833,xyz,xyz,0,0,town
46986006,50.586023,3.4759492,xyz,xyz,0,0,town
46986009,50.5861989,3.476134,xyz,xyz,0,0,town
46986324,50.5812723,3.4787141,xyz,xyz,0,0,town
46986335,50.5847597,3.4818658,xyz,xyz,0,0,town
46986365,50.5843371,3.4823735,xyz,xyz,0,0,town
46988489,50.5850731,3.4830161,xyz,xyz,0,0,town
46988587,50.6595154,3.5899226,xyz,xyz,0,0,town
52747361,50.6290198,3.3604649,xyz,xyz,0,0,town
52747675,50.627733,3.3648133,xyz,xyz,0,0,town
52803288,50.6286972,3.3619809,xyz,xyz,0,0,town
60039394,50.8120511,3.275279,xyz,xyz,0,0,town
60039596,50.8108473,3.2777191,xyz,xyz,0,0,town
60039721,50.8101916,3.2754199,xyz,xyz,0,0,town
60039730,50.8115619,3.2742368,xyz,xyz,0,0,town
60040372,50.8212732,3.3044216,xyz,xyz,0,0,town
60051263,50.8173297,3.3012448,xyz,xyz,0,0,town
60062466,50.8286871,3.1775824,xyz,xyz,0,0,town
60734085,50.604787,3.2791652,xyz,xyz,0,0,town
60734087,50.6124511,3.3173901,xyz,xyz,0,0,town
71281025,50.8467109,3.3684239,xyz,xyz,0,0,town
124070600,50.8090236,3.2664673,xyz,xyz,0,0,town
124070706,50.8050111,3.2638646,xyz,xyz,0,0,town
124071771,50.8058207,3.269992,xyz,xyz,0,0,town
124072280,50.8044935,3.2747537,xyz,xyz,0,0,town
124072281,50.8044116,3.2745767,xyz,xyz,0,0,town
124072926,50.8047633,3.2741468,xyz,xyz,0,0,town
131992000,50.5998441,3.1125305,xyz,xyz,0,0,town
132010932,50.600598,3.1194787,xyz,xyz,0,0,town
146850512,50.8364071,3.1812651,xyz,xyz,0,0,town
146850563,50.784439,3.2381389,xyz,xyz,0,0,town
146850719,50.6148889,3.3238226,xyz,xyz,0,0,town
146850723,50.6137183,3.3248685,xyz,xyz,0,0,town
