osm_id,osm_type,capacity,isced_level,amenity,name,longitude,latitude,geom_type
"6116328341",nodes,,,school,Tildanga non-govt. nimno maddomik Biddaloy,89.4683835,22.5938486,POINT
"6116328342",nodes,,,school,South Tildanga Primary School,89.4717067,22.5862621,POINT
"9595231144",nodes,,,school,Kadamtala Govt Primary School,89.064634,22.734269,POINT
"9595231133",nodes,,,school,Kolaroa High School,89.0405766,22.8605683,POINT
"4347009628",nodes,,,school,"Kalaroa Girls' PIlot High School, Play Grounds",89.0432211,22.8581861,POINT
"9595231127",nodes,,,school,Kazirhat High Scholl,89.0209996,22.9062206,POINT
"9579051367",nodes,,,school,Govt Primary School,88.9697535,22.8582723,POINT
"9579051371",nodes,,,school,Govt Primary School,88.976118,22.8289719,POINT
"4346992674",nodes,,,school,Kalaroa Shishu Laboratory School Play Grounds,89.0416903,22.8600707,POINT
"6517626421",nodes,,,school,ASHUTOSH COLONY PRIMARY SCHOOL,88.6585119,22.838782,POINT
"5038564267",nodes,,,school,Baduria Kadmbini Devi Girls' High School,88.7888846,22.7400781,POINT
"4393752490",nodes,,,school,Sadimonnesa Girls High School,88.9304565,23.5918093,POINT
"10250121409",nodes,,,school,,88.8618564,23.6427943,POINT
"9705732055",nodes,,,school,Boalia High School,88.8530321,23.9484246,POINT
"9579063781",nodes,,,college,Chougacha Govt Collge,89.0302353,23.257494,POINT
"9586424189",nodes,,,school,Muktapur Govt Primary School,89.0519247,23.2073144,POINT
"9705227511",nodes,,,school,Amina Monsur Girls High School,89.2648711,23.9993507,POINT
"9705192969",nodes,,,school,Pabna Gopal Chandra Institute,89.2305884,23.9987335,POINT
"2429286464",nodes,,,school,Janipur Pilot School,89.2822456,23.803401,POINT
"5706078298",nodes,,,school,Balipara High School,89.9333659,22.4286799,POINT
"9521607969",nodes,,,,38 No Durgabati Govt Primary School,89.2248309,22.2913079,POINT
"6112309438",nodes,,,school,baburabad govt primary school,89.3307754,22.390151,POINT
"6126029390",nodes,,,school,Megha's Ait Aminia Hafezia Madrasa,89.2680855,22.3762164,POINT
"6126029410",nodes,,,school,Bamboo sako adjoining Jaipur school,89.2686246,22.4021301,POINT
"9521599046",nodes,,,,NOWABEKI SECONDARY SCHOOL,89.2007113,22.3468784,POINT
"6126373115",nodes,,,college,Panjkhana adjacent to Gobindapur College,89.263456,22.3792112,POINT
"6113693002",nodes,,,,Ashiya Hafijiya Madrasha,89.3001473,22.3122571,POINT
"9521599681",nodes,,,,KANTHAL BARIA A.G. HIGH SCHOOL,89.1208198,22.347704,POINT
"9596434707",nodes,,,school,Paikgacha Govt Primary School,89.3060995,22.5832264,POINT
"9596434709",nodes,,,school,Govt Primary School,89.317071,22.5912258,POINT
"9596434708",nodes,,,school,Govt Primary School,89.3228116,22.5906899,POINT
"6112309436",nodes,,,school,choukuni north primary school,89.3393022,22.4050203,POINT
"6112309344",nodes,,,school,satalia govt primary school and cyclone centre,89.3309632,22.4361027,POINT
"6112309341",nodes,,,school,South Mohesshoripur Govt Primary School,89.3506291,22.4423328,POINT
"6113692795",nodes,,,school,Katmarchar Govt primary school,89.2867443,22.3030757,POINT
"6126028784",nodes,,,school,Deyaria Zakaria Shikkha Niketan School.,89.2848936,22.3919985,POINT
"6114040651",nodes,,,school,Safollo Shisu School,89.3062681,22.3082869,POINT
"6113406000",nodes,,,school,Vagba govt primary school,89.3490198,22.467441,POINT
"6112309437",nodes,,,school,Tetultola govt primary school,89.3472335,22.385605,POINT
"6148966647",nodes,,,school,,88.9634818,22.5563577,POINT
"9412215572",nodes,,,school,Nagarukhra High School (H.S),88.6398945,22.9399295,POINT
"9412215571",nodes,,,school,Nagarukhra Kshetra mohan Girls High School (H.S),88.641895,22.9361216,POINT
"9592024991",nodes,,,school,Moishala Govt. Primary School,89.4149766,23.7842474,POINT
"6126028780",nodes,,,school,Mothbari Shantimoi Primary School,89.3230882,22.3836408,POINT
"9521837434",nodes,,,,KATNIA A.K. HIGH SCHOOL,89.2937533,22.4060088,POINT
"5876234422",nodes,,,school,96 no North Rajapur Culvert Government Primary School,89.7825479,22.3294645,POINT
"6127552973",nodes,,,school,Dakshin Bedkashi Girls High School,89.3260454,22.2629972,POINT
"6127557662",nodes,,,school,Patakhaly Mohoraly bari Jame Mosque Madrasa,89.3252863,22.2492579,POINT
"9520141463",nodes,,,,Jorshing Govt. Primary School,89.3444071,22.2480367,POINT
"6127615592",nodes,,,school,105no Chhoto Angtyhara Sundorbon Adorsho Govt. Primary School,89.3276849,22.2159418,POINT
"6087411572",nodes,,,school,Gulishakhali Rafiq Smrity Primary School,89.7426662,22.3948226,POINT
"5843982689",nodes,,,school,Karmiya Nurani Madrasha,89.6808748,22.4057753,POINT
"6130936078",nodes,,,school,Hamejia Dakhil Madrasa,89.750458,22.4056923,POINT
"6126028776",nodes,,,school,Maharajpur Hamidia Hafizia Madrasah,89.3125096,22.3631312,POINT
"6127615593",nodes,,,school,Golkhaly Nurania Hafijia Madrasha,89.3198179,22.2136868,POINT
"6330423945",nodes,,,kindergarten,Kopotakhkho Shishu Academy,89.2919072,22.343552,POINT
"6116231649",nodes,,,school,Nehlia Ebtedai Madrasha,89.9654129,22.118411,POINT
"6098405459",nodes,,,school,Razapur High School,89.8302246,22.3416166,POINT
"6039679871",nodes,,,school,Razapur High School,89.829504,22.3414823,POINT
"6098405460",nodes,,,school,Razapur High School,89.829504,22.3414823,POINT
"6098405440",nodes,,,kindergarten,Shuvo Biddaniketon Kinder Garden,89.8130152,22.3409465,POINT
"5876233974",nodes,,,school,Sher-e-Bangla Primary School No 85,89.8561612,22.3126244,POINT
"5876234399",nodes,,,school,58th North Tafal Ghar Government Primary School,89.8216411,22.2861703,POINT
"5777563333",nodes,,,school,Dakkhin Tafalbari Adarsha Govt Primary School,89.8194364,22.2660907,POINT
"6098405444",nodes,,,school,East Amra Gachia Govt Primary School,89.8199996,22.3310524,POINT
"5782021565",nodes,,,school,27 No Khuriakhali Govt Primary School Cyclone Center,89.8136562,22.2189953,POINT
"5783957887",nodes,,,college,Tafalbari School College,89.8294812,22.2427387,POINT
"5983656037",nodes,,,school,Amra Gachia Bohumukhi Madrasha Orphanages,89.8099065,22.3342231,POINT
"5983656038",nodes,,,school,Amra Gachia Bohumukhi High School,89.8097053,22.3336649,POINT
"6126601810",nodes,,,school,Middle Dhanshagor Govt Primary School,89.799065,22.3765152,POINT
