#name,region,country,latitude,longitude,location_type,conflict_date,population,fatalities,initial_idps,first_event_date,conflict_score,original_camps
Wasagu/Danko,Kebbi,Nigeria,11.3811741,5.7464525,town,0,453200,0,17,,0.17,
Konshisha,Benue,Nigeria,7.1204698,8.6180473,town,0,327000,0,5700,,0.12,
Ona-Ara,Oyo,Nigeria,7.258719,4.0649434,town,0,379500,0,14,,0.14,
Darazo,Bauchi,Nigeria,11.1188755,10.5562017,town,0,446300,0,696,,0.17,
Umuahia North,Abia,Nigeria,5.6078214,7.4762003,town,0,324900,0,12,,0.12,
Ilorin South,Kwara,Nigeria,8.4404502,4.6894414,town,0,314100,0,12,,0.12,
Babura,Jigawa,Nigeria,12.6050122,8.8275802,town,0,366200,0,14,,0.14,
Etsako West,Edo,Nigeria,6.9969282,6.3018014,town,0,294000,0,11,,0.11,
Anaocha,Anambra,Nigeria,6.0922999,7.0211714,town,0,405000,0,15,,0.15,
Ussa,Taraba,Nigeria,7.1040816,10.0535879,town,0,143000,0,645,,0.05,
Birnin-Gwari,Kaduna,Nigeria,10.8837699,6.585878,town,0,382000,0,2017,,0.14,
Ganye,Adamawa,Nigeria,8.4379908,11.8544901,town,0,262100,0,258,,0.09,
Kala/Balge,Borno,Nigeria,11.906762,14.4562539,town,0,89100,0,39536,,0.02,
Gwarzo,Kano,Nigeria,11.9009397,7.9836793,town,0,302000,0,250,,0.11,
Kusada,Katsina,Nigeria,12.4618432,7.9485737,town,0,175800,0,515,,0.06,
Ndokwa West,Delta,Nigeria,5.8260994,6.4163551,town,0,205600,0,7,,0.07,
Kiri Kasama,Jigawa,Nigeria,12.5980744,10.2514157,town,0,331200,0,12,,0.12,
Afikpo South,Ebonyi,Nigeria,5.8274591,7.7839142,town,0,234700,0,8,,0.08,
Mbaitoli,Imo,Nigeria,5.5935473,7.0191523,town,0,330100,0,12,,0.12,
Enugu North,Enugu,Nigeria,6.4410785,7.5383207,town,0,347500,0,13,,0.13,
Kolokuma/Opokuma,Bayelsa,Nigeria,5.0663759,6.2461084,town,0,118000,0,4,,0.04,
Oruk Anam,Akwa Ibom,Nigeria,4.820235,7.6508147,town,0,219300,0,8,,0.08,
Maiyama,Kebbi,Nigeria,12.0068975,4.2962992,town,0,296900,0,11,,0.11,
Ado Ekiti,Ekiti,Nigeria,7.6232482,5.22274,town,0,469700,0,18,,0.18,
Adavi,Kogi,Nigeria,7.6844146,6.4667075,town,0,292800,0,11,,0.11,
Ondo West,Ondo,Nigeria,7.0331466,4.7687111,town,0,443800,0,17,,0.17,
Kaga,Borno,Nigeria,11.6008803,12.5301876,town,0,131900,0,12982,,0.04,
Degema,Rivers,Nigeria,4.5905613,6.9389479,town,0,358800,0,13,,0.13,
Kubau,Kaduna,Nigeria,10.8121331,8.3609171,town,0,414700,0,826,,0.16,
Etung,Cross River,Nigeria,5.8739933,8.8076153,town,0,121900,0,4,,0.04,
Sokoto North,Sokoto,Nigeria,13.0665791,5.2331985,town,0,402200,0,1196,,0.15,
Hong,Adamawa,Nigeria,10.2622947,12.9479254,town,0,260900,0,1233,,0.09,
Damban,Bauchi,Nigeria,11.617606,10.7666868,town,0,268200,0,826,,0.1,
Nasarawa-Eggon,Nasarawa,Nigeria,8.74947,8.44035,town,0,229100,0,243,,0.08,
Vandeikya,Benue,Nigeria,6.8334444,9.0458344,town,0,338700,0,1254,,0.13,
Gabasawa,Kano,Nigeria,12.1348836,8.8570347,town,0,347400,0,242,,0.13,
Gudu,Sokoto,Nigeria,13.4596132,4.4512601,town,0,164700,0,914,,0.05,
Itas/Gadau,Bauchi,Nigeria,11.877064,10.0445349,town,0,408100,0,540,,0.15,
Idemili North,Anambra,Nigeria,6.1371462,6.8856971,town,0,614200,0,24,,0.24,
Lavun,Niger,Nigeria,9.3823776,5.6366923,town,0,359800,0,13,,0.13,
Gwer East,Benue,Nigeria,7.378217,8.3527425,town,0,243500,0,9,,0.09,
Esan West,Edo,Nigeria,6.654649,6.1396625,town,0,188700,0,6,,0.06,
Jakusko,Yobe,Nigeria,12.3691,10.7744631,town,0,365500,0,840,,0.14,
Ibi,Taraba,Nigeria,8.182155,9.7472789,town,0,132600,0,652,,0.04,
Orhionmwon,Edo,Nigeria,6.0884175,5.9483601,town,0,271800,0,10,,0.1,
Kaiama,Kwara,Nigeria,9.5360179,4.1148138,town,0,186200,0,6,,0.06,
Ifelodun,Kwara,Nigeria,7.9045165,4.6370338,town,0,307700,0,11,,0.11,
Balanga,Gombe,Nigeria,9.945255,11.600761,town,0,354100,0,3137,,0.13,
Kurmi,Taraba,Nigeria,7.2643351,10.7014076,town,0,143600,0,650,,0.05,
Sagamu,Ogun,Nigeria,6.8477165,3.6440551,town,0,435200,0,17,,0.17,
Borgu,Niger,Nigeria,10.1967653,4.0920206,town,0,296500,0,11,,0.11,
Zangon-Kataf,Kaduna,Nigeria,9.8968169,8.2582128,town,0,471300,0,18,,0.18,
Akpabuyo,Cross River,Nigeria,4.8956343,8.4803881,town,0,414700,0,16,,0.16,
Kirfi,Bauchi,Nigeria,10.4393765,10.5360929,town,0,260100,0,480,,0.09,
Akoko-Edo,Edo,Nigeria,7.3523936,6.1252351,town,0,386400,0,15,,0.15,
Dass,Bauchi,Nigeria,10.0114079,9.4718203,town,0,160900,0,504,,0.05,
Izzi,Ebonyi,Nigeria,6.5523734,8.2718633,town,0,352500,0,13,,0.13,
Warri North,Delta,Nigeria,5.9235305,5.1348618,town,0,186600,0,6,,0.06,
Ilorin West,Kwara,Nigeria,8.4864338,4.5138928,town,0,548300,0,21,,0.21,
Igalamela-Odolu,Kogi,Nigeria,7.0354145,7.0591062,town,0,198200,0,7,,0.07,
Ado-Odo/Ota,Ogun,Nigeria,6.6244986,3.0822509,town,0,896700,0,35,,0.35,
Katagum,Bauchi,Nigeria,11.6557328,10.3503719,town,0,523200,0,1527,,0.2,
Yagba East,Kogi,Nigeria,8.1347528,5.7048151,town,0,199000,0,7,,0.07,
Ibadan North East,Oyo,Nigeria,7.3939066,3.9273483,town,0,473700,0,18,,0.18,
Soba,Kaduna,Nigeria,10.9579962,8.0299052,town,0,430200,0,236,,0.16,
Yamaltu/Deba,Gombe,Nigeria,10.3071708,11.3732153,town,0,428200,0,1063,,0.16,
Ibiono Ibom,Akwa Ibom,Nigeria,5.2040105,7.8974506,town,0,240700,0,9,,0.09,
Khana,Rivers,Nigeria,4.6693695,7.4375406,town,0,421300,0,16,,0.16,
Mobbar,Borno,Nigeria,13.0669035,12.6776969,town,0,170900,0,26555,,0.06,
Argungu,Kebbi,Nigeria,12.6967675,4.4473728,town,0,342100,0,13,,0.13,
Zing,Taraba,Nigeria,8.8585801,11.7650828,town,0,200900,0,392,,0.07,
Rafi,Niger,Nigeria,10.2138948,6.2071102,town,0,319200,0,12,,0.12,
Ughelli North,Delta,Nigeria,5.4868836,6.0175259,town,0,439500,0,17,,0.17,
Kanam,Plateau,Nigeria,9.491138,10.1545302,town,0,246600,0,995,,0.09,
Aba South,Abia,Nigeria,5.0876592,7.3497135,town,0,622400,0,24,,0.24,
Baruten,Kwara,Nigeria,9.384549,3.4806575,town,0,310300,0,11,,0.11,
Pategi,Kwara,Nigeria,8.6704602,5.8172728,town,0,166400,0,6,,0.06,
Dala,Kano,Nigeria,12.0296959,8.4909615,town,0,688700,0,163,,0.27,
Jada,Adamawa,Nigeria,8.6964628,12.3215818,town,0,259700,0,132,,0.09,
Southern Ijaw,Bayelsa,Nigeria,4.7132198,5.8767913,town,0,479000,0,18,,0.18,
