LGA,State,Geopolitical zone, Total killed , # of incidents with killing , Total civilians killed ,Christians,Muslims,ATR,Unknown, Security Forces , Terror Groups ,Index
Aba North,Abia,South East,9,5,5,5, -   , -   , -   ,1,3, Aba NorthAbiaSouth East 
Aba South,Abia,South East,49,24,32,21, -   , -   ,11,5,12, Aba SouthAbiaSouth East 
Abadam,Borno,North East,826,58,31,6,8, -   ,17,80,715, AbadamBornoNorth East 
Abadan,Borno,North East,176,26, -   , -   , -   , -   , -   ,96,80, AbadanBornoNorth East 
Abaji,Abuja FCT,North Central,24,15,22,4,7, -   ,11, -   ,2, AbajiAbuja FCTNorth Central 
Abak,Akwa Ibom,South South,2,2,1, -   , -   , -   ,1, -   ,1, AbakAkwa IbomSouth South 
Abakaliki,Ebonyi,South East,14,8,8,1, -   , -   ,7,3,3, AbakalikiEbonyiSouth East 
Abakaliki ,Ebonyi,South East,26,14,16,16, -   , -   , -   ,8,2, Abakaliki EbonyiSouth East 
Abeokuta North,Ogun,South West,15,12,10,6,2, -   ,2,3,2, Abeokuta NorthOgunSouth West 
Abeokuta North,Ogun,South West,6,6,5,4,1, -   , -   , -   ,1, Abeokuta NorthOgunSouth West 
Abeokuta South,Ogun,South West,21,10,19,2,4, -   ,13, -   ,2, Abeokuta SouthOgunSouth West 
Abeokuta South,Ogun,South West,19,10,17,9,4,4, -   , -   ,2, Abeokuta SouthOgunSouth West 
Abi,Cross River,South South,2,1,2,2, -   , -   , -   , -   , -   , AbiCross RiverSouth South 
Aboh Mbaise,Imo,South East,14,8,13,8,2, -   ,3,1, -   , Aboh MbaiseImoSouth East 
Abua/Odual,Rivers,South South,3,2,1,1, -   , -   , -   ,2, -   , Abua/OdualRiversSouth South 
Abuja Municipal,Abuja FCT,North Central,73,45,63,20,11,1,31,5,5, Abuja MunicipalAbuja FCTNorth Central 
Adavi,Kogi,North Central,9,5,6, -   ,1, -   ,5,3, -   , AdaviKogiNorth Central 
Adiyani ,Jigawa,North West,3,1,3,3, -   , -   , -   , -   , -   , Adiyani JigawaNorth West 
