Day,Tierkidi sim,Tierkidi data,Tierkidi error,Kakuma sim,Kakuma data,Kakuma error,Khartoum sim,Khartoum data,Khartoum error,West_Kordofan sim,West_Kordofan data,West_Kordofan error,Adjumani sim,Adjumani data,Adjumani error,Rhino sim,Rhino data,Rhino error,Kiryandongo sim,Kiryandongo data,Kiryandongo error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0
1,0,0.0,0.0,0,109,1.0,0,0,0.0,0,46,1.0,0,694,1.0,0,77,1.0,0,3,1.0,1.0,929,929,929,0,0
2,0,0.0,0.0,0,162,1.0,0,0,0.0,0,93,1.0,14,1388,0.989913544669,1,108,0.990740740741,0,3,1.0,0.991448118586089,1754,1754,1754,15,0
3,0,0.0,0.0,0,179,1.0,0,1,1.0,0,140,1.0,25,2083,0.987998079693,9,118,0.923728813559,2,36,0.944444444444,0.9859210011732499,2557,2557,2557,36,0
4,0,0.0,0.0,2,190,0.989473684211,0,1,1.0,0,187,1.0,49,2777,0.982355059417,27,171,0.842105263158,6,67,0.910447761194,0.9752431476569408,3393,3393,3393,84,0
5,0,0.0,0.0,4,239,0.983263598326,0,2,1.0,0,234,1.0,80,3472,0.976958525346,49,178,0.724719101124,14,84,0.833333333333,0.9650748396293657,4209,4209,4209,147,0
6,0,0.0,0.0,9,252,0.964285714286,0,2,1.0,0,281,1.0,127,4166,0.96951512242,77,268,0.712686567164,25,124,0.798387096774,0.9532691930100138,5093,5093,5093,238,0
7,0,0.0,0.0,21,301,0.93023255814,0,3,1.0,0,327,1.0,177,4860,0.963580246914,122,291,0.580756013746,36,142,0.746478873239,0.9399054692775152,5924,5924,5924,356,0
8,0,0.0,0.0,37,350,0.894285714286,0,3,1.0,0,374,1.0,238,5555,0.957155715572,158,418,0.622009569378,53,241,0.780082987552,0.9299812707102723,6941,6941,6941,486,0
9,0,0.0,0.0,51,358,0.857541899441,0,4,1.0,0,421,1.0,303,6249,0.951512241959,217,733,0.703956343793,68,356,0.808988764045,0.921315108976727,8121,8121,8121,639,0
10,0,0.0,0.0,77,461,0.832971800434,0,4,1.0,0,468,1.0,385,6944,0.944556451613,265,869,0.695051783659,83,441,0.81179138322,0.9118319364319146,9187,9187,9187,810,0
11,0,0.0,0.0,104,663,0.843137254902,0,5,1.0,0,515,1.0,475,7638,0.937810945274,324,966,0.664596273292,105,495,0.787878787879,0.9019645983271737,10282,10282,10282,1008,0
12,0,0.0,0.0,129,716,0.819832402235,0,5,1.0,0,562,1.0,594,8332,0.928708593375,407,1029,0.604470359572,138,560,0.753571428571,0.8868261335237415,11204,11204,11204,1268,0
13,0,0.0,0.0,158,734,0.784741144414,0,6,1.0,0,608,1.0,699,9027,0.922565636424,482,1191,0.59529806885,163,643,0.746500777605,0.8769760013105087,12209,12209,12209,1502,0
14,0,0.0,0.0,189,894,0.788590604027,0,6,1.0,0,655,1.0,826,9721,0.915029317971,568,1471,0.613868116927,187,692,0.729768786127,0.8682937718580251,13439,13439,13439,1770,0
15,0,0.0,0.0,225,1056,0.786931818182,0,7,1.0,0,702,1.0,927,10416,0.911002304147,670,1737,0.614277489925,223,710,0.685915492958,0.8601996171725458,14628,14628,14628,2045,0
16,0,0.0,0.0,263,1323,0.801209372638,0,7,1.0,0,749,1.0,1045,11110,0.905940594059,769,2637,0.708380735684,266,726,0.633608815427,0.8584461092315128,16552,16552,16552,2343,0
17,0,0.0,0.0,318,1616,0.803217821782,0,8,1.0,0,796,1.0,1175,11805,0.900465904278,878,2369,0.629379485015,310,793,0.609079445145,0.8458043365733019,17387,17387,17387,2681,0
18,0,0.0,0.0,364,2044,0.821917808219,0,8,1.0,0,843,1.0,1344,12499,0.892471397712,999,2690,0.628624535316,359,918,0.608932461874,0.8386485633091254,19002,19002,19002,3066,0
19,0,0.0,0.0,424,2145,0.802331002331,0,9,1.0,0,889,1.0,1529,13193,0.884105207307,1125,3016,0.62698938992,409,1003,0.59222333001,0.8278449765490002,20255,20255,20255,3487,0
20,0,0.0,0.0,493,2523,0.804597701149,0,9,1.0,0,936,1.0,1702,13888,0.877448156682,1231,3251,0.621347277761,455,1070,0.57476635514,0.8209623102827882,21677,21677,21677,3881,0
21,0,0.0,0.0,576,2993,0.807550952222,0,10,1.0,0,983,1.0,1898,14582,0.869839528185,1346,3590,0.625069637883,498,1097,0.546034639927,0.8143195011825414,23255,23255,23255,4318,0
