Day,Tierkidi sim,Tierkidi data,Tierkidi error,Kakuma sim,Kakuma data,Kakuma error,Khartoum sim,Khartoum data,Khartoum error,West_Kordofan sim,West_Kordofan data,West_Kordofan error,Adjumani sim,Adjumani data,Adjumani error,Rhino sim,Rhino data,Rhino error,Kiryandongo sim,Kiryandongo data,Kiryandongo error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0
1,0,0.0,0.0,0,109,1.0,0,0,0.0,0,46,1.0,0,694,1.0,0,77,1.0,0,3,1.0,1.0,929,929,929,0,0
2,0,0.0,0.0,0,162,1.0,0,0,0.0,0,93,1.0,9,1388,0.993515850144,2,108,0.981481481481,0,3,1.0,0.9937286202964652,1754,1754,1754,11,0
3,0,0.0,0.0,0,179,1.0,0,1,1.0,0,140,1.0,19,2083,0.990878540566,11,118,0.906779661017,8,36,0.777777777778,0.9851388345717638,2557,2557,2557,38,0
4,0,0.0,0.0,5,190,0.973684210526,0,1,1.0,0,187,1.0,43,2777,0.984515664386,25,171,0.853801169591,13,67,0.805970149254,0.9746536987916298,3393,3393,3393,86,0
5,0,0.0,0.0,9,239,0.962343096234,0,2,1.0,0,234,1.0,83,3472,0.976094470046,46,178,0.741573033708,26,84,0.690476190476,0.9610358755048705,4209,4209,4209,164,0
6,0,0.0,0.0,13,252,0.948412698413,0,2,1.0,0,281,1.0,121,4166,0.970955352856,72,268,0.731343283582,40,124,0.677419354839,0.9516984095817789,5093,5093,5093,246,0
7,0,0.0,0.0,24,301,0.920265780731,0,3,1.0,0,327,1.0,174,4860,0.964197530864,98,291,0.66323024055,57,142,0.598591549296,0.9404118838622553,5924,5924,5924,353,0
8,0,0.0,0.0,37,350,0.894285714286,0,3,1.0,0,374,1.0,228,5555,0.95895589559,141,418,0.662679425837,70,241,0.709543568465,0.9314219853047111,6941,6941,6941,476,0
9,0,0.0,0.0,53,358,0.851955307263,0,4,1.0,0,421,1.0,283,6249,0.954712754041,192,733,0.738062755798,83,356,0.766853932584,0.9247629602265731,8121,8121,8121,611,0
10,0,0.0,0.0,74,461,0.839479392625,0,4,1.0,0,468,1.0,366,6944,0.947292626728,249,869,0.713463751438,105,441,0.761904761905,0.9135735278110373,9187,9187,9187,794,0
11,0,0.0,0.0,98,663,0.852187028658,0,5,1.0,0,515,1.0,462,7638,0.939512961508,311,966,0.678053830228,134,495,0.729292929293,0.9022563703559618,10282,10282,10282,1005,0
12,0,0.0,0.0,126,716,0.824022346369,0,5,1.0,0,562,1.0,550,8332,0.93398943831,388,1029,0.622934888241,159,560,0.716071428571,0.8908425562299179,11204,11204,11204,1223,0
13,0,0.0,0.0,164,734,0.776566757493,0,6,1.0,0,608,1.0,658,9027,0.92710756619,448,1191,0.623845507976,195,643,0.696734059098,0.8800065525432058,12209,12209,12209,1465,0
14,0,0.0,0.0,198,894,0.778523489933,0,6,1.0,0,655,1.0,797,9721,0.918012550149,532,1471,0.638341264446,229,692,0.669075144509,0.8693355160354193,13439,13439,13439,1756,0
15,0,0.0,0.0,231,1056,0.78125,0,7,1.0,0,702,1.0,933,10416,0.910426267281,623,1737,0.641335636154,259,710,0.635211267606,0.8601312551271534,14628,14628,14628,2046,0
16,0,0.0,0.0,268,1323,0.797430083144,0,7,1.0,0,749,1.0,1076,11110,0.903150315032,706,2637,0.732271520667,293,726,0.596418732782,0.8584461092315128,16552,16552,16552,2343,0
17,0,0.0,0.0,305,1616,0.811262376238,0,8,1.0,0,796,1.0,1231,11805,0.895722151631,789,2369,0.666948079358,327,793,0.58764186633,0.8474722493817219,17387,17387,17387,2652,0
18,0,0.0,0.0,371,2044,0.818493150685,0,8,1.0,0,843,1.0,1399,12499,0.888071045684,918,2690,0.65873605948,371,918,0.595860566449,0.8390169455846753,19002,19002,19002,3059,0
19,0,0.0,0.0,429,2145,0.8,0,9,1.0,0,889,1.0,1579,13193,0.88031531873,1045,3016,0.653514588859,422,1003,0.57926221336,0.8284374228585535,20255,20255,20255,3475,0
20,0,0.0,0.0,501,2523,0.801426872771,1,9,0.888888888889,0,936,1.0,1780,13888,0.871831797235,1155,3251,0.644724700092,467,1070,0.563551401869,0.8199012778521013,21677,21677,21677,3904,0
21,0,0.0,0.0,604,2993,0.798195790177,1,10,0.9,0,983,1.0,1953,14582,0.866067754766,1297,3590,0.638718662953,519,1097,0.526891522334,0.8119114168995915,23255,23255,23255,4374,0
