#name1,name2,distance,forced_redirection
Abala,Niamey,247,0
Mangaize,Abala,207,0
Mangaize,Niamey,147,0
Tabareybarey,Mangaize,175,0
Tabareybarey,Niamey,202,0
Bamako,Koulikoro,48,0
Gao,Tabareybarey,240,0
Kidal,Gao,343,0
Menaka,Abala,172,0
Menaka,Mangaize,305,0
Menaka,Tabareybarey,361,0
Tombouctou,Fassala-Mbera,395,0
Tombouctou,Gao,421,0
Mopti,Fassala-Mbera,428,0
Mopti,Mentao,408,0
Mopti,Sikasso,468,0
Kayes,Bamako,221,0
Koulikoro,Sikasso,320,0
Segou,Fassala-Mbera,166,0
Segou,Bamako,417,0
Segou,Mopti,573,0
Sikasso,Bobo-Dioulasso,181,0
