#name,region,country,latitude,longitude,location_type,conflict_date,population
Bobo-Dioulasso,Hauts-Bassins,Burkina_Faso,11.183333,-4.283333,camp,,523
Mentao,Sahel,Burkina_Faso,13.9509909,-1.68572098,camp,,7067
Goudoubo,Sahel,Burkina_Faso,14.1565,0.051833,camp,,11121
Ouagadougou ,Centre,Burkina_Faso,12.364808,-1.543855,camp,,1372
Soum,Sahel,Burkina_Faso,14.26601,-1.28374,camp,,4696
Oudalan,Sahel,Burkina_Faso,14.623187,-0.313033,camp,,8923
Mbera,Hodh Ech Chargui,Mauritania,15.55359,-5.5142,camp,,65487
Out of camp,Hodh Ech Chargui,Mauritania,15.689018,-5.668884,camp,,1397
Abala,Tillaberi,Niger,14.936944,3.433611,camp,,16327
Mangaize,Tillaberi,Niger,14.684443,1.952133075,camp,,9420
Niamey,Tillaberi,Niger,13.511667,2.125278,camp,,4482
Tabareybarey,Tillaberi,Niger,14.736289,0.92495,camp,,11441
Ouallam,Tillaberi,Niger,14.31383,2.088861,camp,,5726
Intikane,Tahoua,Niger,15.59819,4.72784,camp,,20637
Ayorou,Tillaberi,Niger,14.734186,0.916781,camp,,9959
Bamako,Bamako,Mali,12.639167,-8.002778,conflict_zone,20,1810366
Gao,Gao,Mali,16.27091,-0.04021,conflict_zone,60,542304
Kidal,Kidal,Mali,18.444305,1.401523,conflict_zone,0,67739
Menaka,Menaka,Mali,15.9037,2.4214,conflict_zone,80,54456
Tombouctou,Tombouctou,Mali,16.78026,-3.00159,conflict_zone,0,674793
Mopti,Mopti,Mali,14.495833,-4.198611,conflict_zone,0,2036209
Kayes,Kayes,Mali,13.277,-9.649,conflict_zone,148,1993615
Koulikoro,Koulikoro,Mali,12.267,-7.927,conflict_zone,238,2422108
Segou,Segou,Mali,14.733,-6.122,conflict_zone,38,2338349
Sikasso,Sikasso,Mali,11.3158,-5.6966,conflict_zone,6,2643179
Aglal,Tombouctou,Mali,16.6178,-2.6822,conflict_zone,245,
Ahina,Gao,Mali,16.4992,0.6531,conflict_zone,262,
