"2014-02-26",0,0,0,0,0
"2014-03-31",0,0,1227,0,1227
"2014-04-28",48292,0,2362,0,50654
"2014-05-30",51476,0,2362,7660,61498
"2014-06-06",51476,0,2541,12118,66135
"2014-06-12",51476,0,2543,15596,69615
"2014-06-16",51476,0,2543,25325,79344
"2014-07-18",51476,0,2552,50453,104481
"2014-08-08",48437,0,2552,50453,101442
"2014-08-14",48439,0,2552,50453,101444
"2014-08-29",48447,0,2552,50453,101452
"2014-09-04",48507,0,2552,50453,101512
"2014-09-12",48498,0,2552,45597,96647
"2014-09-19",48500,0,2609,45695,96804
"2014-09-26",48577,0,2635,45936,97148
"2014-10-03",48643,0,2976,45966,97585
"2014-10-10",48646,0,2976,45990,97612
"2014-10-24",48661,0,2981,46034,97676
"2014-10-31",48771,0,2985,46017,97773
"2014-11-14",48783,0,2996,46034,97813
"2014-11-18",48783,0,3121,46034,97938
"2014-11-21",48783,0,3662,46040,98485
"2014-11-25",48783,0,4936,46040,99759
"2014-11-28",48783,0,4936,46038,99757
"2014-12-02",48783,0,7497,46038,102318
"2014-12-05",49017,0,8472,46112,103601
"2014-12-09",49017,0,9148,46112,104277
"2014-12-12",49069,0,9600,46111,104780
"2014-12-16",49069,0,10343,46111,105523
"2014-12-19",49066,0,10620,46123,105809
"2014-12-23",49066,0,10796,46123,105985
"2014-12-26",49066,0,11270,46123,106459
"2015-01-02",49122,0,11270,46314,106706
"2015-01-16",49116,0,11270,46308,106694
"2015-01-23",49118,0,11360,46331,106809
"2015-01-30",49198,0,11378,46371,106947
"2015-02-03",49198,0,11471,46371,107040
"2015-02-06",49245,0,12394,46394,108033
"2015-02-10",49245,0,12421,46394,108060
"2015-02-13",49247,0,12421,46398,108066
"2015-02-17",49247,0,12412,46398,108057
"2015-02-20",49247,0,12553,46402,108202
"2015-02-24",49247,0,12733,46402,108382
"2015-02-27",49259,0,12815,46486,108560
"2015-03-06",49323,0,12866,46537,108726
"2015-03-10",49323,0,13369,46537,109229
"2015-03-13",49324,0,13865,46517,109706
"2015-03-20",49324,0,14350,46517,110191
"2015-03-24",49324,0,14362,46517,110203
"2015-03-27",49532,0,14288,46593,110413
"2015-04-03",49561,0,13889,46620,110070
"2015-04-07",49561,0,15307,46620,111488
"2015-04-10",49612,0,15663,46612,111887
"2015-04-14",49612,0,15695,46612,111919
"2015-04-17",49612,0,16182,46612,112406
"2015-04-21",50028,0,16182,46612,112822
"2015-04-24",50704,0,16674,46632,114010
"2015-04-28",51099,0,16949,46632,114680
"2015-05-01",51247,0,17711,46789,115747
"2015-05-05",51247,0,19153,46789,117189
"2015-05-12",51495,8959,20110,46800,127364
"2015-05-15",51502,19126,20069,46800,137497
"2015-05-22",51502,38745,20069,46800,157116
"2015-05-29",51502,45280,20070,46808,163660
"2015-06-05",51502,47101,20079,46799,165481
"2015-06-09",51502,47101,20368,46799,165770
"2015-06-16",51502,47101,20569,47034,166206
"2015-06-19",51502,47101,22274,47033,167910
"2015-06-26",51720,47101,20840,47037,166698
"2015-07-03",51809,47101,21093,47041,167044
"2015-07-10",52026,47101,21093,47219,167439
"2015-07-31",52026,46081,20658,47219,165984
"2015-08-08",52222,46139,20707,47444,166512
