gender,Default,Bagerhat,Benapole,Chaugachha,Daulatpur,Dumuria,Fakirhat,Jessore(Jashore),Jhikargacha,Kalaroa,Kalia,Kaliganj,Keshabpur,Khulna,Lohagara,Manirampur,Mongla,Morrelganj,Narail,Noapara,Phultala,Satkhira,Sharankholamuria
male,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
female,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
