Date,Refugee_numbers
2017-06-01,17931
2017-06-30,17930
2017-07-31,17838
2017-08-31,17548
2017-09-30,17556
2017-11-30,17096
2017-12-31,17096
2018-01-31,17096
2018-02-28,19469
2018-03-31,19431
2018-04-30,19357
2018-05-31,24358
2018-06-30,24360
2018-07-31,24362
2018-08-31,24434
2018-09-30,24411
2018-10-31,25466
2018-11-30,25461
2018-12-31,26532
2019-01-31,26546
2019-02-28,26560
2019-03-31,26560
2019-04-30,26904
2019-05-31,26924
2019-06-30,26949
2019-07-31,27931
2019-08-31,27965
2019-09-30,27979
2019-10-31,27857
2019-11-30,27867
2019-12-31,27748
2020-01-31,28589
2020-05-31,28645
2020-02-29,27840
2020-03-31,27852
2020-04-30,27852
2019-06-30,27737
2020-01-31,27860
2020-05-31,43791
2020-06-30,43751
2020-07-31,43752
2020-08-31,47169
2020-09-30,47991
2020-10-31,47991
2020-11-30,47992
2020-12-31,48352
2021-01-31,48551
2021-02-28,48555
2021-03-31,48547
2021-04-30,48586
