Date,Refugees_numbers
2017-01-01,484740
2017-01-05,489009
2017-01-12,490744
2017-01-19,490687
2017-01-31,491786
2017-02-01,491796
2017-02-09,491554
2017-02-16,490621
2017-02-28,491394
2017-03-09,489267
2017-03-15,489304
2017-03-23,487837
2017-03-30,487532
2017-03-31,486331
2017-04-05,486385
2017-04-06,486019
2017-04-27,480282
2017-04-30,481253
2017-05-01,481254
2017-05-18,481199
2017-05-31,481765
2017-06-01,481796
2017-06-15,479280
2017-06-19,479320
2017-06-30,479911
2017-07-03,479845
2017-07-06,477734
2017-07-27,468233
2017-07-31,465335
2017-08-06,464910
2017-08-20,464580
2017-08-31,465372
2017-09-06,465399
2017-09-07,464606
2017-09-18,464653
2017-09-28,461590
2017-09-29,459491
2017-10-05,460292
2017-10-12,459306
2017-10-19,458792
2017-10-31,459506
2017-11-02,457621
2017-11-05,456666
2017-11-09,457429
2017-11-16,458346
2017-11-30,458151
2017-12-05,458203
2017-12-07,459078
2017-12-14,459028
2017-12-18,459119
2017-12-21,459134
2017-12-28,458896
2017-12-31,459311
2018-01-02,459363
2018-01-25,460030
2018-01-31,460353
2018-02-01,461633
2018-02-04,462083
2018-02-08,460107
2018-02-15,459567
2018-02-22,459699
2018-02-28,460102
2018-03-31,460031
2018-03-01,460414
2018-03-08,460516
2018-03-13,460802
2018-03-15,460305
2018-03-22,459578
2018-03-29,458060
2018-04-05,456837
2018-04-07,448215
2018-04-12,446695
2018-04-19,445394
2018-04-26,443694
2018-04-30,444244
2018-05-10,440838
2018-05-17,440468
2018-05-24,434897
2018-05-31,434484
2018-06-07,434663
2018-06-13,435483
2018-06-21,436525
2018-06-24,436032
2018-06-28,433760
2018-06-30,432993
2018-07-05,431191
2018-07-12,429169
2018-07-19,428552
2018-07-26,426644
2018-07-29,426905
2018-07-31,427155
2018-08-02,425289
2018-08-09,423174
2018-08-16,421244
2018-08-29,415614
2018-08-31,415699
2018-09-04,415809
2018-09-06,401658
2018-09-13,400130
2018-09-21,397336
2018-09-24,396633
2018-09-27,396458
2018-09-30,396545
2018-09-24,396622
2018-10-04,397289
2018-10-08,397353
2018-10-09,397353
2018-10-11,395982
2018-10-18,390246
2018-10-24,390407
2018-10-25,376725
2018-10-31,377101
2018-11-01,376658
2018-11-08,374553
2018-11-12,374463
2018-11-15,377370
2018-11-22,376136
2018-11-29,372466
2018-11-30,372745
2018-12-06,363368
2018-12-09,363578
2018-12-20,363145
2018-12-27,362994
2018-12-31,363306
2018-01-13,363251
2019-01-10,363357
2019-01-13,363357
2019-01-17,363181
2019-01-24,362867
2019-01-31,362888
2019-02-07,362761
2019-02-28,363120
2019-03-07,362071
2019-03-11,360687
2019-03-14,360196
2019-03-21,359764
2019-03-31,359993
2019-04-04,359122
2019-04-09,355777
2019-04-11,355094
2019-04-25,352824
2019-04-30,352746
2019-05-02,352851
2019-05-09,346747
2019-05-16,341802
2019-05-31,341932
2019-06-03,344024
2019-06-13,327814
2019-07-04,327761
2019-07-25,305315
2019-07-31,280489
2019-08-04,280380
2019-08-15,277647
2019-08-22,277315
2019-08-28,276898
2019-08-31,277188
2019-09-05,276901
2019-09-12,276807
2019-09-20,276654
2019-09-26,276120
2019-09-30,276915
2019-10-03,277369
2019-10-10,277313
2019-10-16,277178
2019-10-31,280012
2019-11-05,280070
2019-11-07,279889
2019-11-14,279975
2019-11-21,279732
2019-11-27,279178
2019-11-30,280759
2019-11-30,286501
2019-12-01,286551
2019-12-31,286254
2019-01-05,286430
2020-01-05,286430
2020-01-09,286234
2020-01-30,286478
2020-01-31,286938
2020-02-06,287329
2020-02-14,287744
2020-02-27,287886
2020-02-29,288123
2020-03-03,288320
2020-03-05,288316
2020-03-12,288267
2020-03-19,288221
2020-03-26,287989
2020-03-31,286363
2020-04-03,286273
2020-04-05,286444
2020-04-09,286366
2020-04-17,286336
2020-04-30,286282
2020-05-05,286707
2020-05-08,286673
2020-05-22,286563
2020-05-29,286511
2020-05-31,285789
2020-06-03,286065
2020-06-05,285961
2020-06-11,285826
2020-06-26,285477
2020-06-30,284687
2020-07-02,284614
2020-07-05,285051
2020-07-24,284419
2020-07-29,284725
2020-07-31,284362
2020-08-04,284666
2020-08-06,284210
2020-08-14,284006
2020-08-27,283107
2020-08-31,281717
2020-09-04,282104
2020-09-10,281578
2020-09-16,281286
2020-09-23,281194
2020-09-30,280460
2020-10-01,280218
2020-10-07,280088
2020-10-14,280069
2020-10-28,280102
2020-10-31,279849
2020-11-04,281051
2020-11-18,280782
2020-11-25,280660
2020-11-30,280664
2020-12-02,280487
2020-12-09,280353
2020-12-16,280315
2020-12-23,280256
2020-12-31,280765
2021-01-04,281313
2021-01-06,281130
2021-01-13,281065
2021-01-20,281046
2021-01-31,281098
2021-02-03,280911
2021-02-04,281194
2021-02-10,280999
2021-02-17,280917
2021-02-28,281390
2021-03-03,282224
2021-03-17,281118
2021-03-24,280961
2021-03-31,281023
2021-04-07,280842
2021-04-14,280491
2021-04-21,280444
2021-04-30,280972
