Day,Tierkidi sim,Tierkidi data,Tierkidi error,Kakuma sim,Kakuma data,Kakuma error,Khartoum sim,Khartoum data,Khartoum error,West_Kordofan sim,West_Kordofan data,West_Kordofan error,Adjumani sim,Adjumani data,Adjumani error,Rhino sim,Rhino data,Rhino error,Kiryandongo sim,Kiryandongo data,Kiryandongo error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
26,0,0.0,0.0,1176,6162,0.809152872444,0,63,1.0,0,1217,1.0,3054,18054,0.830840810901,2012,4082,0.507104360608,774,1484,0.478436657682,0.7741291610327732,31062,31062,31062,7016,0
27,0,0.0,0.0,1309,6729,0.805468866102,0,89,1.0,0,1264,1.0,3299,18749,0.824043949011,2161,4161,0.480653689017,851,1498,0.431909212283,0.765466297322253,32490,32490,32490,7620,0
28,0,0.0,0.0,1446,7093,0.796137036515,0,115,1.0,5,1311,0.996186117468,3514,19443,0.819266574088,2322,4240,0.452358490566,903,1508,0.401193633952,0.7570453871254821,33710,33710,33710,8190,0
29,0,0.0,0.0,1614,7532,0.785714285714,0,118,1.0,14,1358,0.989690721649,3746,20137,0.813974276208,2472,4319,0.427645288261,966,1520,0.364473684211,0.7481134232792134,34984,34984,34984,8812,0
30,0,0.0,0.0,1756,8274,0.787768914672,0,121,1.0,24,1405,0.982918149466,3971,20832,0.809379800307,2635,4398,0.400864029104,1008,1525,0.339016393443,0.7430173710846669,36555,36555,36555,9394,0
31,0,0.0,0.0,1915,8661,0.77889389216,0,123,1.0,42,1452,0.971074380165,4213,21526,0.804283192418,2832,4477,0.367433549252,1046,1754,0.403648802737,0.7355302292527571,37993,37993,37993,10048,0
32,0,0.0,0.0,2066,9125,0.773589041096,0,126,1.0,57,1498,0.961949265688,4451,22221,0.799693983169,2985,4556,0.344820017559,1098,1983,0.446293494705,0.730263990483181,39509,39509,39509,10657,0
33,0,0.0,0.0,2225,9389,0.76302055597,0,126,1.0,74,1545,0.952103559871,4694,22915,0.795156011346,3157,4635,0.318878101402,1146,2213,0.482150926344,0.7232932415550057,40823,40823,40823,11296,0
34,0,0.0,0.0,2360,9854,0.760503348894,2,126,0.984126984127,92,1592,0.942211055276,4920,23610,0.791613722999,3340,4713,0.291321875663,1198,2442,0.509418509419,0.7186385431183125,42337,42337,42337,11912,0
35,0,0.0,0.0,2539,10158,0.750049222288,2,126,0.984126984127,117,1639,0.928615009152,5148,24304,0.788183015142,3517,4792,0.266068447412,1256,2671,0.529764133283,0.7120851453421836,43690,43690,43690,12579,0
36,0,0.0,0.0,2723,10622,0.743645264545,2,126,0.984126984127,140,1686,0.916963226572,5369,24998,0.785222817825,3668,4871,0.246971874358,1317,2900,0.545862068966,0.7075636572793841,45203,45203,45203,13219,0
37,0,0.0,0.0,2881,10708,0.73094882331,2,126,0.984126984127,167,1733,0.903635314484,5607,25693,0.78176935352,3850,4950,0.222222222222,1370,3129,0.562160434644,0.7005330283346641,46339,46339,46339,13877,0
38,0,0.0,0.0,3024,11114,0.727910743207,3,126,0.97619047619,194,1779,0.890949971894,5853,26387,0.778186228067,4022,5029,0.200238616027,1414,3358,0.578916021441,0.6963990542548072,47793,47793,47793,14510,0
39,0,0.0,0.0,3154,11574,0.727492655953,3,126,0.97619047619,223,1826,0.877875136911,6068,27082,0.775939738572,4214,5108,0.175019577134,1468,3588,0.590858416945,0.6931283465844557,49304,49304,49304,15130,0
40,0,0.0,0.0,3330,11728,0.716064120055,3,126,0.97619047619,256,1873,0.863320875601,6287,27776,0.773653513825,4390,5187,0.15365336418,1515,3817,0.603091433063,0.6875482606371394,50507,50507,50507,15781,0
41,0,0.0,0.0,3497,12088,0.710704831238,3,126,0.97619047619,284,1920,0.852083333333,6505,28470,0.771513874254,4541,5266,0.137675655146,1568,4046,0.612456747405,0.6841436166114493,51916,51916,51916,16398,0
42,0,0.0,0.0,3637,12387,0.706385726972,6,126,0.952380952381,314,1967,0.840366039654,6741,29165,0.768866792388,4717,5345,0.117492984097,1641,4275,0.616140350877,0.6797897305923214,53265,53265,53265,17056,0
43,0,0.0,0.0,3803,12618,0.698605167221,8,155,0.948387096774,345,2014,0.828699106256,6984,29859,0.766100673164,4900,5423,0.0964410842707,1677,4504,0.627664298401,0.6753522804317154,54573,54573,54573,17717,0
44,0,0.0,0.0,3956,12891,0.693119230471,8,184,0.95652173913,387,2060,0.81213592233,7222,30554,0.763631603063,5073,5502,0.0779716466739,1739,4733,0.632579759138,0.6712502682211573,55924,55924,55924,18385,0
45,0,0.0,0.0,4107,13216,0.68924031477,9,213,0.957746478873,428,2107,0.796867584243,7454,31248,0.761456733231,5223,5581,0.0641462103566,1801,4963,0.637114648398,0.6681900641920179,57328,57328,57328,19022,0
46,0,0.0,0.0,4268,13515,0.684202737699,11,227,0.95154185022,469,2154,0.782265552461,7676,31943,0.75969696021,5370,5660,0.0512367491166,1854,5192,0.642912172573,0.6652297626552623,58691,58691,58691,19648,0
