Day,Tierkidi sim,Tierkidi data,Tierkidi error,Kakuma sim,Kakuma data,Kakuma error,Khartoum sim,Khartoum data,Khartoum error,West_Kordofan sim,West_Kordofan data,West_Kordofan error,Adjumani sim,Adjumani data,Adjumani error,Rhino sim,Rhino data,Rhino error,Kiryandongo sim,Kiryandongo data,Kiryandongo error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0
1,0,0.0,0.0,0,109,1.0,0,0,0.0,0,46,1.0,0,694,1.0,0,77,1.0,0,3,1.0,1.0,929,929,929,0,0
2,0,0.0,0.0,0,162,1.0,0,0,0.0,0,93,1.0,8,1388,0.994236311239,1,108,0.990740740741,0,3,1.0,0.9948688711516533,1754,1754,1754,9,0
3,0,0.0,0.0,0,179,1.0,0,1,1.0,0,140,1.0,21,2083,0.989918386942,8,118,0.932203389831,3,36,0.916666666667,0.9874853343762221,2557,2557,2557,32,0
4,0,0.0,0.0,4,190,0.978947368421,0,1,1.0,0,187,1.0,52,2777,0.981274756932,21,171,0.877192982456,10,67,0.850746268657,0.9743589743589743,3393,3393,3393,87,0
5,0,0.0,0.0,6,239,0.97489539749,0,2,1.0,0,234,1.0,96,3472,0.972350230415,50,178,0.719101123596,18,84,0.785714285714,0.9596103587550487,4209,4209,4209,170,0
6,0,0.0,0.0,14,252,0.944444444444,0,2,1.0,0,281,1.0,138,4166,0.966874699952,83,268,0.690298507463,27,124,0.782258064516,0.9485568427253093,5093,5093,5093,262,0
7,0,0.0,0.0,25,301,0.916943521595,0,3,1.0,0,327,1.0,188,4860,0.961316872428,116,291,0.601374570447,39,142,0.725352112676,0.937879810938555,5924,5924,5924,368,0
8,0,0.0,0.0,40,350,0.885714285714,0,3,1.0,0,374,1.0,251,5555,0.954815481548,162,418,0.612440191388,64,241,0.734439834025,0.9255150554675119,6941,6941,6941,517,0
9,0,0.0,0.0,53,358,0.851955307263,0,4,1.0,0,421,1.0,323,6249,0.948311729877,212,733,0.710777626194,82,356,0.769662921348,0.9174978450929688,8121,8121,8121,670,0
10,0,0.0,0.0,79,461,0.82863340564,0,4,1.0,0,468,1.0,412,6944,0.940668202765,272,869,0.686996547756,101,441,0.770975056689,0.9059540655273757,9187,9187,9187,864,0
11,0,0.0,0.0,102,663,0.846153846154,0,5,1.0,0,515,1.0,503,7638,0.934145064153,337,966,0.651138716356,129,495,0.739393939394,0.8958373857226221,10282,10282,10282,1071,0
12,0,0.0,0.0,132,716,0.815642458101,0,5,1.0,0,562,1.0,621,8332,0.925468074892,420,1029,0.591836734694,161,560,0.7125,0.8809353802213495,11204,11204,11204,1334,0
13,0,0.0,0.0,165,734,0.775204359673,0,6,1.0,0,608,1.0,735,9027,0.918577600532,494,1191,0.585222502099,191,643,0.702954898911,0.8701777377344582,12209,12209,12209,1585,0
14,0,0.0,0.0,198,894,0.778523489933,0,6,1.0,0,655,1.0,850,9721,0.912560436169,555,1471,0.62270564242,216,692,0.687861271676,0.8646476672371456,13439,13439,13439,1819,0
15,0,0.0,0.0,242,1056,0.770833333333,0,7,1.0,0,702,1.0,987,10416,0.905241935484,649,1737,0.626367299942,253,710,0.643661971831,0.8543204812687996,14628,14628,14628,2131,0
16,0,0.0,0.0,279,1323,0.789115646259,0,7,1.0,0,749,1.0,1131,11110,0.898199819982,730,2637,0.723170269245,291,726,0.599173553719,0.8531295311744804,16552,16552,16552,2431,0
17,0,0.0,0.0,324,1616,0.799504950495,0,8,1.0,0,796,1.0,1287,11805,0.890978398983,822,2369,0.653018151119,322,793,0.59394703657,0.841548283200092,17387,17387,17387,2755,0
18,0,0.0,0.0,380,2044,0.814090019569,0,8,1.0,0,843,1.0,1436,12499,0.885110808865,935,2690,0.652416356877,358,918,0.610021786492,0.8363856436164614,19002,19002,19002,3109,0
19,0,0.0,0.0,444,2145,0.793006993007,0,9,1.0,0,889,1.0,1611,13193,0.87788979004,1050,3016,0.651856763926,401,1003,0.600199401795,0.8269069365588744,20255,20255,20255,3506,0
20,0,0.0,0.0,518,2523,0.794688862465,0,9,1.0,0,936,1.0,1776,13888,0.872119815668,1155,3251,0.644724700092,453,1070,0.576635514019,0.8199935415417262,21677,21677,21677,3902,0
21,0,0.0,0.0,599,2993,0.799866354828,0,10,1.0,0,983,1.0,1974,14582,0.864627623097,1300,3590,0.637883008357,501,1097,0.543299908842,0.8119114168995915,23255,23255,23255,4374,0
22,0,0.0,0.0,685,3638,0.811709730621,0,10,1.0,0,1030,1.0,2179,15277,0.857367284153,1423,3715,0.616958277254,548,1187,0.538331929233,0.8054873878585509,24857,24857,24857,4835,0
