data_date,unix_timestamp,individuals
2013-03-18,1363564800,8059
2013-03-24,1364083200,8172
2013-03-25,1364169600,8281
2013-03-26,1364256000,8387
2013-04-01,1364774400,8649
2013-04-02,1364860800,8834
2013-04-03,1364947200,8963
2013-04-06,1365206400,9080
2013-04-07,1365292800,9163
2013-04-08,1365379200,9242
2013-04-09,1365465600,9242
2013-04-10,1365552000,9419
2013-04-11,1365638400,9465
2013-04-14,1365897600,9594
2013-04-15,1365984000,9734
2013-04-16,1366070400,9859
2013-04-18,1366243200,9985
2013-04-21,1366502400,10123
2013-04-22,1366588800,10229
2013-04-23,1366675200,10327
2013-04-24,1366761600,10430
2013-04-29,1367193600,10669
2013-04-30,1367280000,10761
2013-05-02,1367452800,10900
2013-05-05,1367712000,10910
2013-05-06,1367798400,11006
2013-05-07,1367884800,11150
2013-05-08,1367971200,11322
2013-05-12,1368316800,11453
2013-05-13,1368403200,11549
2013-05-14,1368489600,11652
2013-05-15,1368576000,11723
2013-05-16,1368662400,11823
2013-05-20,1369008000,12665
2013-05-21,1369094400,12739
2013-05-23,1369267200,12822
2013-05-26,1369526400,12892
2013-05-27,1369612800,12925
2013-05-28,1369699200,12966
2013-05-29,1369785600,13019
2013-06-03,1370217600,13076
2013-06-04,1370304000,13108
2013-06-06,1370476800,13660
2013-06-09,1370736000,13684
2013-06-10,1370822400,13716
2013-06-11,1370908800,13734
2013-06-12,1370995200,13780
2013-06-13,1371081600,13817
2013-06-17,1371427200,14181
2013-06-18,1371513600,14202
2013-06-20,1371686400,14213
2013-06-23,1371945600,14281
2013-06-24,1372032000,14313
2013-06-25,1372118400,14340
2013-06-26,1372204800,14356
2013-06-30,1372550400,14394
2013-07-01,1372636800,14416
2013-07-03,1372809600,14534
2013-07-08,1373241600,14588
2013-07-09,1373328000,14611
2013-07-15,1373846400,14713
2013-07-16,1373932800,14742
2013-07-17,1374019200,14762
2013-07-21,1374364800,14819
2013-07-22,1374451200,15044
2013-07-25,1374710400,15074
2013-07-28,1374969600,15104
2013-08-04,1375574400,15169
2013-08-06,1375747200,13612
2013-08-13,1376352000,13735
2013-08-25,1377388800,14599
2013-08-29,1377734400,15132
2013-09-01,1377993600,15259
2013-09-16,1379289600,16557
2013-09-18,1379462400,16740
2013-09-19,1379548800,16829
2013-09-23,1379894400,16817
2013-09-24,1379980800,16893
2013-09-26,1380153600,17167
2013-09-29,1380412800,17285
2013-10-01,1380585600,17485
2013-10-02,1380672000,17603
2013-10-03,1380758400,17555
2013-10-06,1381017600,17664
2013-10-07,1381104000,17668
2013-10-08,1381190400,17773
2013-10-09,1381276800,17853
2013-10-10,1381363200,17927
2013-10-20,1382227200,18095
2013-10-21,1382313600,18190
2013-10-22,1382400000,18260
2013-11-05,1383609600,21595
2013-11-10,1384041600,21804
2013-11-12,1384214400,21892
2013-11-17,1384646400,21973
2013-11-20,1384905600,22095
2013-11-26,1385424000,21938
2013-11-27,1385510400,22042
2013-12-02,1385942400,21372
2013-12-04,1386115200,21484
2013-12-12,1386806400,21746
2013-12-18,1387324800,21860
2014-01-06,1388966400,22412
2014-01-27,1390780800,22645
2014-02-10,1391990400,24160
2014-02-23,1393113600,24993
2014-02-28,1393545600,25293
2014-03-05,1393977600,25134
2014-03-23,1395532800,24784
2014-03-30,1396137600,24767
2014-04-15,1397520000,24835
2014-04-30,1398816000,25148
2014-05-15,1400112000,25679
2014-06-15,1402790400,24932
2014-06-30,1404086400,24426
2014-07-15,1405382400,24487
2014-07-31,1406764800,24654
2014-08-15,1408060800,24250
2014-08-26,1409011200,23976
2014-09-02,1409616000,23855
2014-09-15,1410739200,23484
2014-09-30,1412035200,23446
2014-10-15,1413331200,24627
2014-10-21,1413849600,24192
2014-10-31,1414713600,24267
2014-11-15,1416009600,20214
2014-11-30,1417305600,20951
2014-12-15,1418601600,21431
2014-12-31,1419984000,21666
2015-01-15,1421280000,22092
2015-01-31,1422662400,22584
2015-02-15,1423958400,22943
2015-02-28,1425081600,23088
2015-03-15,1426377600,23348
2015-03-31,1427760000,23594
2015-05-05,1430784000,24137
2015-05-15,1431648000,23985
2015-05-31,1433030400,24165
2015-06-15,1434326400,24104
2015-06-30,1435622400,24104
2015-07-15,1436918400,23826
2015-07-31,1438300800,23895
2015-08-15,1439596800,23513
2015-08-29,1440806400,23376
2015-09-13,1442102400,23178
2015-09-28,1443398400,22995
2015-10-15,1444867200,22699
2015-10-27,1445904000,22516
2015-11-15,1447545600,22261
2015-11-28,1448668800,22397
2015-12-31,1451520000,22589
2016-01-15,1452816000,22620
2016-02-15,1455494400,22654
2016-02-29,1456704000,22700
2016-03-15,1458000000,22735
2016-03-31,1459382400,22774
2016-04-30,1461974400,22877
2016-05-31,1464652800,23205
2016-06-30,1467244800,23744
2016-08-31,1472601600,21309
2016-10-31,1477872000,21955
2016-11-30,1480464000,22089
2016-12-31,1483142400,22449
2017-01-31,1485820800,22455
2017-02-28,1488240000,22726
2017-03-31,1490918400,22743
2017-04-30,1493510400,22989
2017-05-31,1496188800,23114
2017-06-30,1498780800,23188
2017-07-31,1501459200,23388
2017-08-31,1504137600,23469
2017-10-31,1509408000,23222
2017-11-30,1512000000,23116
2017-12-31,1514678400,22894
2018-01-31,1517356800,23042
2018-02-28,1519776000,22939
2018-03-31,1522454400,23024
2018-04-30,1525046400,23143
2018-05-31,1527724800,23225
2018-06-30,1530316800,23376
2018-07-31,1532995200,23089
2018-08-31,1535673600,23141
2018-09-30,1538265600,23399
2018-10-31,1540944000,23475
2018-11-30,1543536000,23316
2018-12-31,1546214400,23099
2019-01-31,1548892800,23401
2019-02-28,1551312000,23580
2019-03-31,1553990400,23662
2019-04-30,1556582400,23231
2019-05-31,1559260800,22502
2019-07-31,1564531200,20244
2019-08-31,1567209600,19694
2019-09-30,1569801600,20127
2019-10-31,1572480000,20127
2019-11-30,1575072000,20785
2019-12-31,1577750400,21318
2020-01-31,1580428800,21816
2020-02-29,1582934400,22270
2020-03-31,1585612800,22279
2020-04-30,1588204800,22288
2020-05-31,1590883200,22279
2020-06-30,1593475200,22188
2020-07-31,1596153600,22098
2020-08-31,1598832000,22148
2020-09-30,1601424000,22719
2020-10-31,1604102400,22656
2020-11-30,1606694400,22689
2020-12-31,1609372800,22368
2021-01-31,1612051200,22534
2021-02-28,1614470400,22651
2021-03-31,1617148800,22731
2021-04-30,1619740800,22745
