data_date,unix_timestamp,individuals
2012-04-25,1335312000,66
2012-05-01,1335830400,66
2012-05-02,1335916800,66
2012-05-09,1336521600,66
2012-05-17,1337212800,118
2012-05-24,1337817600,125
2012-05-31,1338422400,239
2012-06-05,1338854400,239
2012-06-14,1339632000,334
2012-06-21,1340236800,339
2012-06-26,1340668800,378
2012-07-05,1341446400,378
2012-07-11,1341964800,380
2012-07-20,1342742400,380
2012-07-25,1343174400,380
2012-08-08,1344384000,417
2012-08-10,1344556800,461
2012-08-17,1345161600,492
2012-08-25,1345852800,492
2012-09-07,1346976000,492
2012-09-10,1347235200,524
2012-09-12,1347408000,586
2012-09-13,1347494400,688
2012-09-20,1348099200,905
2012-09-21,1348185600,905
2012-09-28,1348790400,1121
2012-10-05,1349395200,1293
2012-10-12,1350000000,1508
2012-10-15,1350259200,1508
2012-10-16,1350345600,1634
2012-10-19,1350604800,1717
2012-10-31,1351641600,1784
2012-11-05,1352073600,1883
2012-11-06,1352160000,1929
2012-11-07,1352246400,1972
2012-11-12,1352678400,2147
2012-11-18,1353196800,2622
2012-11-21,1353456000,2716
2012-11-26,1353888000,3181
2012-11-28,1354060800,3246
2012-12-02,1354406400,2954
2012-12-05,1354665600,3007
2012-12-09,1355011200,3067
2012-12-10,1355097600,3082
2012-12-11,1355184000,3106
2012-12-12,1355270400,3128
2012-12-16,1355616000,3142
2012-12-18,1355788800,3163
2012-12-19,1355875200,3172
2012-12-23,1356220800,3190
2012-12-24,1356307200,3201
2012-12-26,1356480000,3206
2012-12-30,1356825600,3232
2013-01-03,1357171200,3247
2013-01-06,1357430400,3250
2013-01-07,1357516800,3272
2013-01-08,1357603200,2957
2013-01-09,1357689600,2983
2013-01-10,1357776000,3056
2013-01-13,1358035200,3141
2013-01-15,1358208000,3250
2013-01-16,1358294400,3352
2013-01-20,1358640000,3471
2013-01-21,1358726400,3532
2013-01-22,1358812800,3573
2013-01-23,1358899200,3652
2013-01-28,1359331200,3838
2013-01-30,1359504000,3978
2013-02-03,1359849600,4160
2013-02-04,1359936000,4242
2013-02-05,1360022400,4311
2013-02-06,1360108800,4365
2013-02-10,1360454400,4537
2013-02-11,1360540800,4624
2013-02-12,1360627200,4756
2013-02-13,1360713600,4842
2013-02-17,1361059200,5021
2013-02-18,1361145600,5097
2013-02-19,1361232000,5765
2013-02-20,1361318400,5851
2013-02-25,1361750400,6495
2013-02-27,1361923200,6742
2013-03-03,1362268800,7049
2013-03-09,1362787200,7344
2013-03-10,1362873600,7454
2013-03-12,1363046400,7733
2013-03-13,1363132800,7803
2013-03-17,1363478400,7921
