Day,Tierkidi sim,Tierkidi data,Tierkidi error,Kakuma sim,Kakuma data,Kakuma error,Khartoum sim,Khartoum data,Khartoum error,West_Kordofan sim,West_Kordofan data,West_Kordofan error,Adjumani sim,Adjumani data,Adjumani error,Rhino sim,Rhino data,Rhino error,Kiryandongo sim,Kiryandongo data,Kiryandongo error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0
1,0,0.0,0.0,0,109,1.0,0,0,0.0,0,46,1.0,0,694,1.0,0,77,1.0,0,3,1.0,1.0,929,929,929,0,0
2,0,0.0,0.0,0,162,1.0,0,0,0.0,0,93,1.0,7,1388,0.994956772334,4,108,0.962962962963,0,3,1.0,0.9937286202964652,1754,1754,1754,11,0
3,0,0.0,0.0,0,179,1.0,0,1,1.0,0,140,1.0,18,2083,0.991358617379,9,118,0.923728813559,3,36,0.916666666667,0.9882675009777082,2557,2557,2557,30,0
4,0,0.0,0.0,1,190,0.994736842105,0,1,1.0,0,187,1.0,38,2777,0.986316168527,22,171,0.87134502924,9,67,0.865671641791,0.9793692897141173,3393,3393,3393,70,0
5,0,0.0,0.0,7,239,0.970711297071,0,2,1.0,0,234,1.0,68,3472,0.980414746544,48,178,0.730337078652,22,84,0.738095238095,0.9655500118793062,4209,4209,4209,145,0
6,0,0.0,0.0,17,252,0.93253968254,0,2,1.0,0,281,1.0,111,4166,0.973355736918,72,268,0.731343283582,37,124,0.701612903226,0.9534655409385431,5093,5093,5093,237,0
7,0,0.0,0.0,29,301,0.90365448505,0,3,1.0,0,327,1.0,156,4860,0.967901234568,104,291,0.642611683849,52,142,0.633802816901,0.9424375422012155,5924,5924,5924,341,0
8,0,0.0,0.0,44,350,0.874285714286,0,3,1.0,0,374,1.0,214,5555,0.961476147615,149,418,0.643540669856,72,241,0.701244813278,0.9309897709263795,6941,6941,6941,479,0
9,0,0.0,0.0,58,358,0.837988826816,0,4,1.0,0,421,1.0,280,6249,0.955192830853,201,733,0.725784447476,98,356,0.724719101124,0.9215613840660017,8121,8121,8121,637,0
10,0,0.0,0.0,81,461,0.824295010846,0,4,1.0,0,468,1.0,362,6944,0.947868663594,261,869,0.699654775604,125,441,0.716553287982,0.9097637966692065,9187,9187,9187,829,0
11,0,0.0,0.0,100,663,0.849170437406,0,5,1.0,0,515,1.0,466,7638,0.938989264205,323,966,0.665631469979,148,495,0.70101010101,0.8991441353822214,10282,10282,10282,1037,0
12,0,0.0,0.0,126,716,0.824022346369,0,5,1.0,0,562,1.0,569,8332,0.931709073452,387,1029,0.623906705539,166,560,0.703571428571,0.8886112102820422,11204,11204,11204,1248,0
13,0,0.0,0.0,154,734,0.790190735695,0,6,1.0,0,608,1.0,671,9027,0.925667442118,454,1191,0.618807724601,196,643,0.695178849145,0.8791874846424769,12209,12209,12209,1475,0
14,0,0.0,0.0,202,894,0.774049217002,0,6,1.0,0,655,1.0,796,9721,0.918115420224,544,1471,0.630183548606,222,692,0.679190751445,0.868740233648337,13439,13439,13439,1764,0
15,0,0.0,0.0,235,1056,0.777462121212,0,7,1.0,0,702,1.0,923,10416,0.911386328725,635,1737,0.634427173287,252,710,0.645070422535,0.8601996171725458,14628,14628,14628,2045,0
16,0,0.0,0.0,276,1323,0.791383219955,0,7,1.0,0,749,1.0,1069,11110,0.903780378038,727,2637,0.724307925673,293,726,0.596418732782,0.8571169647172547,16552,16552,16552,2365,0
17,0,0.0,0.0,320,1616,0.80198019802,0,8,1.0,0,796,1.0,1217,11805,0.896908089792,823,2369,0.652596032081,337,793,0.575031525851,0.8448841088169322,17387,17387,17387,2697,0
18,0,0.0,0.0,374,2044,0.817025440313,0,8,1.0,0,843,1.0,1377,12499,0.889831186495,924,2690,0.656505576208,372,918,0.59477124183,0.8396484580570466,19002,19002,19002,3047,0
19,0,0.0,0.0,434,2145,0.797668997669,0,9,1.0,0,889,1.0,1546,13193,0.882816645191,1032,3016,0.657824933687,412,1003,0.589232303091,0.8309553196741545,20255,20255,20255,3424,0
20,0,0.0,0.0,491,2523,0.805390408244,0,9,1.0,0,936,1.0,1728,13888,0.875576036866,1164,3251,0.641956321132,443,1070,0.585981308411,0.8234995617474743,21677,21677,21677,3826,0
21,0,0.0,0.0,585,2993,0.80454393585,0,10,1.0,0,983,1.0,1918,14582,0.868467974215,1278,3590,0.644011142061,490,1097,0.553327256153,0.8163405719200172,23255,23255,23255,4271,0
