,Day,Tierkidi sim,Tierkidi error,Pugnido sim,Pugnido error,Jewi sim,Jewi error,Kule sim,Kule error,Kakuma sim,Kakuma error,Khartoum sim,Khartoum error,West_Kordofan sim,West_Kordofan error,Adjumani sim,Adjumani error,Rhino sim,Rhino error,Kiryandongo sim,Kiryandongo error,Total error,refugees in camps (simulation),refugee_debt
27,27,0,0.0,-3,0.0,0,0.0,0,0.0,-61,0.008827785817655642,0,0.0,0,0.0,-185,0.009867192916955592,-50,0.01090037061260074,-44,0.02877697841726612,0.009967170447487517,-343,0
28,28,0,0.0,-5,0.0,0,0.0,0,0.0,-56,0.007688083470620444,0,0.0,0,0.0,-197,0.010132181247749728,-60,0.012836970474968012,-37,0.02402597402597406,0.009831300581329083,-355,0
29,29,0,0.0,-7,0.0,0,0.0,0,0.0,-60,0.007756948933419383,0,0.0,0,0.0,-195,0.009683666881859287,-58,0.0121823146397817,-39,0.025128865979381465,0.009475158605915746,-359,0
30,30,0,0.0,-6,0.0,0,0.0,0,0.0,-113,0.013300376647834233,0,0.0,0,0.0,-214,0.010272657450076772,-65,0.013407590759076049,-37,0.023763648041104757,0.01112192043751481,-435,0
31,31,0,0.0,-9,0.0,0,0.0,0,0.0,-136,0.015291207555655495,0,0.0,0,0.0,-265,0.012310694044411319,-58,0.011752786220871392,-49,0.027374301675977653,0.012626518218623484,-517,0
32,32,0,0.0,-8,0.0,0,0.0,0,0.0,-138,0.014727854855923095,0,0.0,0,0.0,-254,0.01143062868457756,-74,0.014735165272799722,-52,0.025691699604743046,0.01241268527758177,-526,0
33,33,0,0.0,-11,0.0,0,0.0,0,0.0,-171,0.01773674929986524,0,0.0,0,0.0,-275,0.012000872790748462,-66,0.012918379330593033,-54,0.023914968999114272,0.013076669336977487,-577,0
34,34,0,0.0,-19,0.0,0,0.0,0,0.0,-194,0.019171854926376186,0,0.0,0,0.0,-317,0.01342651418890295,-65,0.012509622786758934,-35,0.014044943820224809,0.013452710993955286,-630,0
35,35,0,0.0,-29,0.0,0,0.0,0,0.0,-190,0.01821493624772319,0,0.0,0,0.0,-349,0.014359776168531901,-66,0.01249290176036344,-56,0.02054292002934688,0.013919785036231036,-690,0
36,36,0,0.0,-46,0.0,0,0.0,0,0.0,-215,0.0197121114880352,0,0.0,0,0.0,-362,0.014481158492679502,-54,0.010055865921787754,-44,0.014864864864864824,0.013393522560313342,-721,0
37,37,0,0.0,-63,0.0,0,0.0,0,0.0,-234,0.02128046562386321,0,0.0,0,0.0,-409,0.015918732728758878,-83,0.01520982224665568,-22,0.006887914840325582,0.014229922306701615,-811,0
38,38,0,0.0,-64,0.0,0,0.0,0,0.0,-235,0.020590554630684266,0,0.0,0,0.0,-443,0.016788570129230296,-112,0.02020202020202011,-14,0.0040840140023337135,0.0149073327961321,-868,0
39,39,0,0.0,-73,0.0,0,0.0,0,0.0,-260,0.02187631468237272,0,0.0,0,0.0,-459,0.016948526696698996,-97,0.01722606996981002,-8,0.0021845985800108547,0.014668828251655275,-897,0
40,40,0,0.0,-83,0.0,0,0.0,0,0.0,-291,0.024163414431620067,0,0.0,0,0.0,-473,0.017029089861751112,-105,0.018363064008394492,-20,0.005134788189987249,0.015370239707088174,-972,0
41,41,0,0.0,-85,0.0,0,0.0,0,0.0,-290,0.02336260372190435,0,0.0,1,-0.0003500175008750439,-458,0.016087109237794217,-97,0.01670973298880274,-13,0.003148462097360194,0.014324414591605827,-942,0
42,42,0,0.0,-91,0.0,0,0.0,0,0.0,-303,0.023820754716981085,0,0.0,-5,0.0017088174982909932,-466,0.015978055888907883,-87,0.014765784114052938,-20,0.004584001833600748,0.014289331838078345,-972,0
43,43,0,0.0,-108,0.0,0,0.0,0,0.0,-294,0.02269043760129652,0,0.0,-9,0.0030040053404539746,-464,0.015539703272045347,-86,0.01438367620003339,-34,0.007396127909506056,0.013749161636485652,-995,0
44,44,0,0.0,-136,0.0,0,0.0,0,0.0,-281,0.0212283750094433,0,0.0,-15,0.004892367906066619,-469,0.01534987235713825,-88,0.014507088691064929,-62,0.012833781825708934,0.013413920170816551,-1051,0
45,45,0,0.0,-153,0.0,0,0.0,0,0.0,-270,0.01989536511679313,0,0.0,-29,0.009247448979591844,-460,0.014720942140296955,-127,0.020640338046481244,-59,0.011648568608094823,0.013301088270858519,-1098,0
46,46,0,0.0,-158,0.0,0,0.0,0,0.0,-284,0.020464043810347277,0,0.0,-40,0.012480499219968966,-494,0.015465047115173824,-106,0.016987179487179482,-53,0.010001887148518684,0.0134352597647599,-1135,0
47,47,0,0.0,-166,0.0,0,0.0,0,0.0,-282,0.019821466226189632,0,0.0,-43,0.01312977099236634,-501,0.0153506756135674,-137,0.021653232179547954,-62,0.011205494306885999,0.013762276302930254,-1191,0
48,48,0,0.0,-172,-19.111111111111107,0,0.0,0,0.0,-292,0.019918144611186905,0,0.0,-47,0.014050822122571027,-528,0.015841108877621357,-140,0.02182725288431553,-67,0.0116178255592162,0.014101020838870104,-1246,0
49,49,0,0.0,-189,-10.5,0,0.0,0,0.0,-309,0.02079687710324407,0,0.0,-60,0.017574692442882123,-551,0.016193499088931973,-149,0.022919550838332525,-50,0.008333333333333304,0.01424588707453811,-1308,0
50,50,0,0.0,-208,-7.703703703703705,0,0.0,0,0.0,-313,0.020802871195002015,0,0.0,-73,0.020952927669345645,-554,0.01595622119815665,-156,0.023679417122040136,-34,0.005453962143086244,0.013846546623214828,-1338,0
51,51,0,0.0,-222,-6.000000000000001,0,0.0,0,0.0,-370,0.023850963707857997,0,0.0,-89,0.025042205965109976,-610,0.017224339968939684,-156,0.023370786516853814,-50,0.007730364873222095,0.015445771115087825,-1497,0
