Name,Population
Gao,542304
Segou,2338349
Tombouctou,674793
Mopti,2036209
Kayes,1993615
Sikasso,2643179
Koulikoro,2422108
Menaka,54456
Kidal,67739
Bamako,1810366
Fassala,10000
Mentao,10000
Dori,9000
Damba,4000
Djibo,1800
Niamey,15000
Mangaize,6000
Ayorou,10000
Tahoua,10000
