#name,region,country,latitude,longitude,location_type,conflict_date,population
Bujumbura,,Burundi,,,conflict_zone,0,497166
Kabarore,Kayanza,Burundi,,,conflict_zone,71,62303
Bukinanyana,,Burundi,,,conflict_zone,72,75750
Cibitoke,,Burundi,,,conflict_zone,76,460435
Mwaro,,Burundi,,,conflict_zone,179,273143
Gisuru,,Burundi,,,conflict_zone,207,99461
Burambi,,Burundi,,,conflict_zone,222,57167
Bubanza,,Burundi,,,town,,
Isale,,Burundi,,,town,,
Muramvya,,Burundi,,,town,,
Kayanza,,Burundi,,,town,,
Rumonge,,Burundi,,,town,,
Bururi,,Burundi,,,town,,
Rutana,,Burundi,,,town,,
Makamba,,Burundi,,,town,,
Gitega,,Burundi,,,town,,
Karuzi,,Burundi,,,town,,
Ruyigi,,Burundi,,,town,,
Cankuzo,,Burundi,,,town,,
Muyinga,,Burundi,,,town,,
Kirundo,,Burundi,,,town,,
Ngozi,,Burundi,,,town,,
Gashoho,,Burundi,,,town,,
Gitega-Ruyigi,,Burundi,,,town,,
Makebuko,,Burundi,,,town,,
Commune_of_Mabanda,,Burundi,,,town,,
Kagunga,,,,,forwarding_hub,,
Mahama,,,,,camp,,49451
Nduta,,,,,camp,,55320
Nyarugusu,,,,,camp,,100925
Nakivale,,,,,camp,,18734
Lusenda,,,,,camp,,17210
