Day,Tierkidi sim,Tierkidi data,Tierkidi error,Kakuma sim,Kakuma data,Kakuma error,Khartoum sim,Khartoum data,Khartoum error,West_Kordofan sim,West_Kordofan data,West_Kordofan error,Adjumani sim,Adjumani data,Adjumani error,Rhino sim,Rhino data,Rhino error,Kiryandongo sim,Kiryandongo data,Kiryandongo error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0
1,0,0.0,0.0,0,109,1.0,0,0,0.0,0,46,1.0,0,694,1.0,0,77,1.0,0,3,1.0,1.0,929,929,929,0,0
2,0,0.0,0.0,0,162,1.0,0,0,0.0,0,93,1.0,2,1388,0.99855907781,2,108,0.981481481481,0,3,1.0,0.9977194982896237,1754,1754,1754,4,0
3,0,0.0,0.0,0,179,1.0,0,1,1.0,0,140,1.0,15,2083,0.992798847816,11,118,0.906779661017,2,36,0.944444444444,0.9890496675791943,2557,2557,2557,28,0
4,0,0.0,0.0,5,190,0.973684210526,0,1,1.0,0,187,1.0,45,2777,0.98379546273,21,171,0.877192982456,15,67,0.776119402985,0.9746536987916298,3393,3393,3393,86,0
5,0,0.0,0.0,11,239,0.953974895397,0,2,1.0,0,234,1.0,75,3472,0.978398617512,34,178,0.808988764045,26,84,0.690476190476,0.965312425754336,4209,4209,4209,146,0
6,0,0.0,0.0,14,252,0.944444444444,0,2,1.0,0,281,1.0,126,4166,0.969755160826,66,268,0.753731343284,47,124,0.620967741935,0.9503239740820735,5093,5093,5093,253,0
7,0,0.0,0.0,27,301,0.910299003322,0,3,1.0,0,327,1.0,180,4860,0.962962962963,99,291,0.659793814433,60,142,0.577464788732,0.9382174206617151,5924,5924,5924,366,0
8,0,0.0,0.0,43,350,0.877142857143,0,3,1.0,0,374,1.0,251,5555,0.954815481548,144,418,0.655502392344,75,241,0.688796680498,0.9260913413052875,6941,6941,6941,513,0
9,0,0.0,0.0,60,358,0.832402234637,0,4,1.0,0,421,1.0,310,6249,0.95039206273,202,733,0.724420190996,102,356,0.713483146067,0.9170052949144194,8121,8121,8121,674,0
10,0,0.0,0.0,79,461,0.82863340564,0,4,1.0,0,468,1.0,390,6944,0.94383640553,269,869,0.690448791715,119,441,0.730158730159,0.9067160117557418,9187,9187,9187,857,0
11,0,0.0,0.0,99,663,0.850678733032,0,5,1.0,0,515,1.0,483,7638,0.936763550668,340,966,0.648033126294,142,495,0.713131313131,0.8965181871231278,10282,10282,10282,1064,0
12,0,0.0,0.0,118,716,0.835195530726,0,5,1.0,0,562,1.0,592,8332,0.928948631781,414,1029,0.597667638484,165,560,0.705357142857,0.8849518029275258,11204,11204,11204,1289,0
13,0,0.0,0.0,141,734,0.807901907357,0,6,1.0,0,608,1.0,704,9027,0.92201174255,498,1191,0.581863979849,195,643,0.696734059098,0.8740273568678844,12209,12209,12209,1538,0
14,0,0.0,0.0,174,894,0.805369127517,0,6,1.0,0,655,1.0,835,9721,0.914103487296,564,1471,0.61658735554,218,692,0.684971098266,0.8667311555919339,13439,13439,13439,1791,0
15,0,0.0,0.0,208,1056,0.80303030303,0,7,1.0,0,702,1.0,959,10416,0.907930107527,665,1737,0.61715601612,251,710,0.646478873239,0.8576018594476347,14628,14628,14628,2083,0
16,0,0.0,0.0,242,1323,0.817082388511,0,7,1.0,0,749,1.0,1119,11110,0.899279927993,765,2637,0.709897610922,286,726,0.606060606061,0.8542774287095215,16552,16552,16552,2412,0
17,0,0.0,0.0,287,1616,0.822400990099,0,8,1.0,0,796,1.0,1279,11805,0.891656077933,883,2369,0.627268889827,323,793,0.592686002522,0.8405705412089493,17387,17387,17387,2772,0
18,0,0.0,0.0,337,2044,0.835127201566,0,8,1.0,0,843,1.0,1439,12499,0.884870789663,1002,2690,0.62750929368,356,918,0.61220043573,0.8350699926323545,19002,19002,19002,3134,0
19,0,0.0,0.0,393,2145,0.816783216783,0,9,1.0,0,889,1.0,1612,13193,0.877813992269,1130,3016,0.625331564987,391,1003,0.610169491525,0.8259195260429524,20255,20255,20255,3526,0
20,0,0.0,0.0,459,2523,0.81807372176,0,9,1.0,0,936,1.0,1805,13888,0.870031682028,1269,3251,0.609658566595,449,1070,0.580373831776,0.8163029939567283,21677,21677,21677,3982,0
21,0,0.0,0.0,545,2993,0.817908453057,0,10,1.0,0,983,1.0,1980,14582,0.864216156906,1411,3590,0.606963788301,506,1097,0.538742023701,0.8089873145560095,23255,23255,23255,4442,0
