Day,Tierkidi sim,Tierkidi data,Tierkidi error,Kakuma sim,Kakuma data,Kakuma error,Khartoum sim,Khartoum data,Khartoum error,West_Kordofan sim,West_Kordofan data,West_Kordofan error,Adjumani sim,Adjumani data,Adjumani error,Rhino sim,Rhino data,Rhino error,Kiryandongo sim,Kiryandongo data,Kiryandongo error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0
1,0,0.0,0.0,0,109,1.0,0,0,0.0,0,46,1.0,0,694,1.0,0,77,1.0,0,3,1.0,1.0,929,929,929,0,0
2,0,0.0,0.0,0,162,1.0,0,0,0.0,0,93,1.0,5,1388,0.996397694524,3,108,0.972222222222,0,3,1.0,0.9954389965792474,1754,1754,1754,8,0
3,0,0.0,0.0,0,179,1.0,0,1,1.0,0,140,1.0,17,2083,0.991838694191,10,118,0.915254237288,5,36,0.861111111111,0.9874853343762221,2557,2557,2557,32,0
4,0,0.0,0.0,0,190,1.0,0,1,1.0,0,187,1.0,38,2777,0.986316168527,31,171,0.818713450292,12,67,0.820895522388,0.9761273209549072,3393,3393,3393,81,0
5,0,0.0,0.0,2,239,0.991631799163,0,2,1.0,0,234,1.0,75,3472,0.978398617512,44,178,0.752808988764,22,84,0.738095238095,0.9660251841292469,4209,4209,4209,143,0
6,0,0.0,0.0,8,252,0.968253968254,0,2,1.0,0,281,1.0,123,4166,0.970475276044,64,268,0.761194029851,36,124,0.709677419355,0.9546436285097192,5093,5093,5093,231,0
7,0,0.0,0.0,17,301,0.943521594684,0,3,1.0,0,327,1.0,169,4860,0.965226337449,92,291,0.683848797251,55,142,0.612676056338,0.9437879810938555,5924,5924,5924,333,0
8,0,0.0,0.0,30,350,0.914285714286,0,3,1.0,0,374,1.0,237,5555,0.957335733573,128,418,0.693779904306,74,241,0.692946058091,0.9324304855208183,6941,6941,6941,469,0
9,0,0.0,0.0,47,358,0.868715083799,0,4,1.0,0,421,1.0,310,6249,0.95039206273,176,733,0.759890859482,91,356,0.744382022472,0.9231621721462874,8121,8121,8121,624,0
10,0,0.0,0.0,60,461,0.869848156182,0,4,1.0,0,468,1.0,408,6944,0.941244239631,228,869,0.737629459148,112,441,0.746031746032,0.9120496353543049,9187,9187,9187,808,0
11,0,0.0,0.0,84,663,0.873303167421,0,5,1.0,0,515,1.0,510,7638,0.933228593873,297,966,0.692546583851,132,495,0.733333333333,0.9005057381832329,10282,10282,10282,1023,0
12,0,0.0,0.0,109,716,0.847765363128,0,5,1.0,0,562,1.0,612,8332,0.92654824772,367,1029,0.643343051506,153,560,0.726785714286,0.8892359871474473,11204,11204,11204,1241,0
13,0,0.0,0.0,139,734,0.810626702997,0,6,1.0,0,608,1.0,730,9027,0.919131494406,435,1191,0.63476070529,191,643,0.702954898911,0.8775493488410189,12209,12209,12209,1495,0
14,0,0.0,0.0,177,894,0.802013422819,0,6,1.0,0,655,1.0,857,9721,0.911840345643,525,1471,0.643099932019,217,692,0.686416184971,0.8678473100677133,13439,13439,13439,1776,0
15,0,0.0,0.0,217,1056,0.794507575758,0,7,1.0,0,702,1.0,989,10416,0.905049923195,611,1737,0.648244099021,247,710,0.652112676056,0.8589007383100903,14628,14628,14628,2064,0
16,0,0.0,0.0,251,1323,0.810279667423,0,7,1.0,0,749,1.0,1142,11110,0.897209720972,708,2637,0.731513083049,281,726,0.612947658402,0.8560898985016916,16552,16552,16552,2382,0
17,0,0.0,0.0,306,1616,0.810643564356,0,8,1.0,0,796,1.0,1299,11805,0.889961880559,820,2369,0.653862389194,313,793,0.605296343001,0.8425260251912349,17387,17387,17387,2738,0
18,0,0.0,0.0,354,2044,0.826810176125,0,8,1.0,0,843,1.0,1450,12499,0.883990719258,926,2690,0.655762081784,350,918,0.618736383442,0.8379117987580255,19002,19002,19002,3080,0
19,0,0.0,0.0,421,2145,0.80372960373,0,9,1.0,0,889,1.0,1656,13193,0.874478890321,1058,3016,0.649204244032,386,1003,0.615154536391,0.8261663786719329,20255,20255,20255,3521,0
20,0,0.0,0.0,460,2523,0.817677368212,0,9,1.0,0,936,1.0,1812,13888,0.86952764977,1192,3251,0.633343586589,435,1070,0.593457943925,0.8201319370761637,21677,21677,21677,3899,0
21,0,0.0,0.0,539,2993,0.819913130638,0,10,1.0,0,983,1.0,1970,14582,0.864901933891,1320,3590,0.632311977716,481,1097,0.561531449407,0.8146635132229628,23255,23255,23255,4310,0
