mali total error,burundi total error,car total error
0.249465199,0.388243268,0.281294567
0.248673484,0.38913708,0.282077065
0.248005583,0.390237745,0.283493185
0.246896386,0.390684364,0.280072277
0.24608804,0.392193932,0.280396259
0.245112692,0.393043035,0.280730345
0.244553071,0.39358986,0.280795017
0.244253835,0.394577029,0.2809922
0.243989782,0.395631126,0.28117606
0.24325517,0.397732612,0.281038732
0.242965594,0.398716605,0.280834633
0.242214945,0.399638251,0.280936785
0.241260322,0.400199092,0.280939909
0.240414224,0.40141777,0.281106753
0.239397792,0.402356355,0.282812672
0.238468481,0.404372974,0.283492
0.237614831,0.405520463,0.284070205
0.236723171,0.407582938,0.284442614
0.235571679,0.409238393,0.284768892
0.235174236,0.411493243,0.28513887
0.234957665,0.412874136,0.285485294
0.233563338,0.414554917,0.285929793
0.231919374,0.416463194,0.286390525
0.230519135,0.418476883,0.286941345
0.229285816,0.419882022,0.287624086
0.227628642,0.421290876,0.288298869
0.227026453,0.42219702,0.288767078
0.225723488,0.424698123,0.29139198
0.224014527,0.426803917,0.292258627
0.222196033,0.428963467,0.292725829
0.220629461,0.430850916,0.29336558
0.219124725,0.432839302,0.293728986
0.217810957,0.434676293,0.294250361
0.216593651,0.436284009,0.294750287
0.21529652,0.43820175,0.29524979
0.213530432,0.440668797,0.295728025
0.211770217,0.442429487,0.296240061
0.210060141,0.444007177,0.296683725
0.208082012,0.446129325,0.297194687
0.206124165,0.451453567,0.2969198
0.204725236,0.452046386,0.292824028
0.203564476,0.452143463,0.288998189
0.201940097,0.452778855,0.284685591
0.199166987,0.453184052,0.281141568
0.194885802,0.452428263,0.258144039
0.190743729,0.450789338,0.248593773
0.188497032,0.44932733,0.240486633
0.186168488,0.447907589,0.232113271
0.183963737,0.445586069,0.226360935
0.181974616,0.44418001,0.223548955
0.179292289,0.442909338,0.220552381
0.176723294,0.441751267,0.218166224
0.174778608,0.441146626,0.215983769
0.172669224,0.440239657,0.215263091
0.17024473,0.439143813,0.216746665
0.167722135,0.437573489,0.217775887
0.165342085,0.435410924,0.219231898
0.162970745,0.433481147,0.220528202
0.160435125,0.431514937,0.221414619
0.157726336,0.429304893,0.222630348
0.155096096,0.426654181,0.224138116
0.152834952,0.421052912,0.226209873
0.150940394,0.416984784,0.227375102
0.148806414,0.410967162,0.228499103
0.146282239,0.407310139,0.230520219
0.143909849,0.403478757,0.232309493
0.141264951,0.400020051,0.233928853
0.139059582,0.396458197,0.235610814
0.136858054,0.3930924,0.23814172
0.134542826,0.388483766,0.23972592
0.132021806,0.383611054,0.241227138
0.130166105,0.380177561,0.242434267
0.128736202,0.376608389,0.243756769
0.127588578,0.373372763,0.244566588
0.12638496,0.370036985,0.245595115
0.125305685,0.366306406,0.24654235
0.124271823,0.362520764,0.247056416
0.122190552,0.359144336,0.249113448
0.118949728,0.355807806,0.250262779
0.115372053,0.352457871,0.251331524
0.112458618,0.348927764,0.251957379
0.110109096,0.345337833,0.252775497
0.109516412,0.34156145,0.253269565
0.1088564,0.33766876,0.253440998
0.10838791,0.33356469,0.253414883
0.108257108,0.329922565,0.254514972
0.10807132,0.326293137,0.254450272
0.107905658,0.322527832,0.253993407
0.107730023,0.31931266,0.253549408
0.107521925,0.316338248,0.253091701
0.107266514,0.313100882,0.254291938
0.107103518,0.309782387,0.253912754
0.106883183,0.306284971,0.253422725
0.106684195,0.302787166,0.253252507
0.106453968,0.29937513,0.253052248
0.106143996,0.296617076,0.2529892
0.105877861,0.293392231,0.253977113
0.105699726,0.29011436,0.25392486
0.105430844,0.28699936,0.253785995
0.105320401,0.283946699,0.253775252
0.105196508,0.280621131,0.253863434
0.105019097,0.27754281,0.253604571
0.104818306,0.274498671,0.253380085
0.104539402,0.271884195,0.253322276
0.104322341,0.26970504,0.254191449
0.103961171,0.267528268,0.253786387
0.103800271,0.265088466,0.253502906
0.103584722,0.262501316,0.252627654
0.1033346,0.259158922,0.251715213
0.103063413,0.256058756,0.250868728
0.103014598,0.253117924,0.250368298
0.102810626,0.250166058,0.250429964
0.102516299,0.246964753,0.249915807
0.102457644,0.243705036,0.249052327
0.102130081,0.240898571,0.248356703
0.101971152,0.238095238,0.247052601
0.101721946,0.235407981,0.245152142
0.101440549,0.232948485,0.243568854
0.101291926,0.230566195,0.242404504
0.101200227,0.227803808,0.241138004
0.101118588,0.226072017,0.23988408
0.100781929,0.224151206,0.238523072
0.10043318,0.222217805,0.237319759
0.100197054,0.220248067,0.235897562
0.099982192,0.218509713,0.234584292
0.099744046,0.21658044,0.234537868
0.099659531,0.214766369,0.233750988
0.099420409,0.212671034,0.232909864
0.099269245,0.21023498,0.232032189
0.099130357,0.207852125,0.231443468
0.099071655,0.205666556,0.23065042
0.098945192,0.2035266,0.229806236
0.098576524,0.20210673,0.229109601
,0.200525204,0.228838467
,0.198694756,0.228683917
,0.197060055,0.228242363
,0.194179725,0.227930214
,0.189343557,0.227766924
,0.184353454,0.227379424
,0.179405593,0.227644853
,0.175055197,0.227227773
,0.169543475,0.226525307
,0.164521861,0.225261927
,0.160014041,0.221442867
,0.156253042,0.21771355
,0.152891015,0.21368884
,0.148890302,0.21293416
,0.145967492,0.211791617
,0.142998997,0.210767172
,0.140146494,0.210613304
,0.136943937,0.209977169
,0.133729741,0.209974405
,0.130146031,0.212694022
,0.127814337,0.216410967
,0.125198403,0.219801604
,0.122594225,0.221958194
,0.120106783,0.226921513
,0.117214747,0.231463939
,0.114770048,0.236312991
,0.112635666,0.241303529
,0.110142419,0.246305068
,0.107426644,0.251062551
,0.105307631,0.255987717
,0.10442721,0.257878042
,0.103519758,0.259345077
,0.102767269,0.261354845
,0.080701403,0.263155831
,0.080215839,0.264603654
,0.079777737,0.266406638
,0.082688972,0.271742616
,0.086035226,0.274321134
,0.087929206,0.276318976
,0.088067108,0.276970651
,0.08952488,0.277837399
,0.090784154,0.278356788
,0.092186998,0.279197635
,0.093980724,0.280831157
,0.097017248,0.28191537
,0.100031102,0.282796403
,0.100710716,0.284109368
,0.100986999,0.28546727
,0.101639127,0.28657917
,0.102387674,0.287489199
,0.102960956,0.2883109
,0.10607108,0.28962818
,0.109036686,0.2904147
,0.108986706,0.291572481
,0.109366574,0.292456978
,0.110028976,0.294214001
,0.110844161,0.295079607
,0.111846444,0.295721162
,0.112727497,0.29630595
,0.113881017,0.297781563
,0.114437902,0.298635549
,0.114880813,0.299209262
,0.115127041,0.300520048
,0.115186323,0.301233004
,0.115126356,0.302046668
,0.115464322,0.302993226
