Date,Refugees
2022-08-01,0
2022-08-28,182
2022-09-01,1341
2022-09-28,1683
2022-10-01,4043
2022-10-28,8273
2022-11-01,5279
2022-11-28,12413
2022-12-01,16083
2022-12-28,10714
2023-01-01,28211
2023-01-28,30988
2023-02-01,36627
2023-02-28,37497
2023-03-01,47636
2023-03-28,74803
2023-04-01,66054
2023-04-28,74006
2023-05-01,46961
2023-05-28,94043
2023-06-01,103978
2023-06-28,113365
2023-07-01,92184
2023-07-28,125752
