Date,Refugees
2022-08-01,0
2022-08-28,107
2022-09-01,312
2022-09-28,921
2022-10-01,2093
2022-10-28,2566
2022-11-01,3193
2022-11-28,2990
2022-12-01,4499
2022-12-28,8452
2023-01-01,8435
2023-01-28,7226
2023-02-01,11839
2023-02-28,20072
2023-03-01,20694
2023-03-28,35153
2023-04-01,27072
2023-04-28,34436
2023-05-01,22601
2023-05-28,38702
2023-06-01,44023
2023-06-28,30866
2023-07-01,53888
2023-07-28,56938
