Date,Refugees
2022-08-01,0
2022-08-10,729
2022-08-19,3531
2022-08-28,6654
2022-09-01,11055
2022-09-10,11587
2022-09-19,33384
2022-09-28,25512
2022-10-01,46714
2022-10-10,58911
2022-10-19,96660
2022-10-28,88325
2022-11-01,99176
2022-11-10,102182
2022-11-19,143069
2022-11-28,166675
2022-12-01,115864
2022-12-10,213742
2022-12-19,343118
2022-12-28,182450
2023-01-01,403685
2023-01-10,395123
2023-01-19,342528
2023-01-28,259518
2023-02-01,428314
2023-02-10,468736
2023-02-19,506990
2023-02-28,545391
2023-03-01,795850
2023-03-10,629367
2023-03-19,677658
2023-03-28,715690
2023-04-01,621734
2023-04-10,1069145
2023-04-19,871384
2023-04-28,747572
2023-05-01,699469
2023-05-10,736705
2023-05-19,798746
2023-05-28,1138589
2023-06-01,809168
2023-06-10,712801
2023-06-19,1345134
2023-06-28,1789672
2023-07-01,1717206
2023-07-10,1526254
2023-07-19,1606943
2023-07-28,1677688
