Date,Refugees
2022-08-01,0
2022-08-28,129
2022-09-01,738
2022-09-28,903
2022-10-01,1738
2022-10-28,2824
2022-11-01,5605
2022-11-28,7620
2022-12-01,6384
2022-12-28,13956
2023-01-01,22601
2023-01-28,18695
2023-02-01,22619
2023-02-28,13425
2023-03-01,30747
2023-03-28,26088
2023-04-01,21801
2023-04-28,58478
2023-05-01,51079
2023-05-28,72180
2023-06-01,66061
2023-06-28,104542
2023-07-01,91788
2023-07-28,103091
