#name1,name2,distance,forced_redirection
Halba,Baalbek-Hermel,83.6,
Halba,Tripoli,28.5,
Baalbek-Hermel,Tripoli,105,
Baalbek-Hermel,Jounieh,125,
Baalbek-Hermel,Zahleh,75.9,
Tripoli,Jounieh,62.1,
Baabda,Zahleh,44.6,
Baabda,Jounieh,24.7,
Baabda,Beirut,10.1,
Baabda,Sidon,45.5,
Zahleh,Sidon,88.1,
Zahleh,Nabatiye,86.1,
Nabatiye,Sidon,30.0,
Tartus,Halba,51.0,
Homs,Baalbek-Hermel,73.1,
Homs,Halba,81.0,
Damascus,Baalbek-Hermel,138.0,
Damascus,Zahleh,72.3,
