#name1,name2,distance,forced_redirection
Maan,Hashemeyeh,35,0
Hashemeyeh,Hasa,41,0
Hasa,Al_Qatrana,51,0
Al_Qatrana,Daba,45,0
Daba,Amman,39,0
Daba,Balqa,68,0
Daba,Zarqa,66,0
Azraq,Emirati,33,0
Emirati,Zarqa,45,0
Zarqa,Amman,28,0
Amman,Balqa,36,0
Balqa,Ajlun,66,0
Ajlun,Amman,72,0
Ajlun,Mafraq,63,0
Mafraq,Zarqa,43,0
Mafraq,Zaatari,18,0
Zaatari,Emirati,74,0
Zaatari,Salkhad,87,0
Zaatari,As_Sweida,85,0
As_Sweida,Salkhad,38,0
Irbid,Ajlun,36,0
Irbid,Mafraq,51,0
Irbid,Dara,62,0
Dara,Al_Fiq,19,0
Dara,Shahba,84,0
Dara,As_Sweida,67,0
Al_Fiq,Izra,56,0
Al_Fiq,As_Sanamayn,37,0
Dara,Izra,58,0
Izra,Shahba,35,0
Izra,As_Sanamayn,30,0
Shahba,As_Sanamayn,19,0
Quneitra,Qatana,24,0
Quneitra,As_Sanamayn,28,0
Quneitra,Al_Fiq,43,0
As_Sanamayn,Qatana,40,0
Qatana,Jdaydet_Artooz,28,0
Jdaydet_Artooz,Damascus,11,0
Jdaydet_Artooz,Darayya,17,0
Rural_Damascus,Az_Zabdani,3,0
Damascus,Darayya,7,0
Damascus,Rural_Damascus,22,0
At_Tall,Rural_Damascus,14,0
At_Tall,Damascus,25,0
At_Tall,Duma,31,0
Duma,Darayya,27,0
Duma,Damascus,25,0
Izra,Darayya,65,0
Shahba,Khalkhalah,27,0
Khalkhalah,Darayya,52,0
Khalkhalah,Izra,52,0
At_Tall,Al_Qutayfah2,41,0
Yabroud,Al_Qutayfah2,37,0
Al_Qutayfah2,Duma,37,0
Yabroud,An_Nabk,19,0
Yabroud,Al_Qutayfah,46,0
Al_Qutayfah,Al_Qutayfah2,51,0
Yabroud,Qarah,28,0
Qarah,Hassla,31,0
Hassla,Al_Qusayr,40,0
Qarah,Al_Qutayfah,46,0
Al_Quaryatayn,Homs,66,0
Al_Qutayfah,Al_Quaryatayn,65,0
Al_Quaryatayn,Khunayfis,91,0
Khunayfis,Tadmor,71,0
Tadmor,Homs,61,0
Al_Furqlus,Al_Makhrim,42,0
Al_Qusayr,Al_Furqlus,65,0
Al_Furqlus,Homs,59,0
Al_Qusayr,Tall_Kalakh,62,0
Al_Qusayr,Ar_Rastan,47,0
Tall_Kalakh,Tartous,59,0
Tall_Kalakh,Masyaf,32,0
Masyaf,Ar_Rastan,38,0
Ar_Rastan,Al_Musherefa,28,0
Al_Musherefa,Al_Makhrim,47,0
Al_Makhrim,Homs,57,0
Al_Makhrim,Salamiyah,37,0
Salamiyah,As_Salamiyeh,58,0
Salamiyah,Hama,38,0
Hama,Ar_Rastan,26,0
Tartous,Banyas,44,0
Banyas,Masyaf2,61,0
Masyaf2,Masyaf,28,0
Masyaf,Hama,42,0
Banyas,Jablah,22,0
Jablah,Nahr_Al_Bared,55,0
Nahr_Al_Bared,Muhradah,27,0
Nahr_Al_Bared,As_Suqaylabiyah,24,0
Muhradah,Hama,25,0
Muhradah,As_Suqaylabiyah,29,0
Hama,As_Salamiyeh,72,0
Lattakia,As_Suqaylabiyah,108,0
Lattakia,Jablah,35,0
Lattakia,Al_Haffa,62,0
Lattakia,Yayladagi,65,0
Lattakia,Guvecci,91,0
As_Suqaylabiyah,Al_Mara,62,0
As_Suqaylabiyah,Ariha,61,0
As_Suqaylabiyah,Al_Haffa,67,0
Ariha,Al_Mara,29,0
Ariha,Idleb,26,0
Al_Mara,Idleb,25,0
Ariha,Al_Haffa,76,0
Al_Haffa,Jisr_Ash_Shugur,14,0
Al_Haffa,Guvecci,18,0
Jisr_Ash_Shugur,Guvecci,17,0
Ariha,Jisr_Ash_Shugur,60,0
Ariha,Idleb2,24,0
Idleb2,Harim,38,0
Altizonu,Guvecci,47,0
Altizonu,Yayladagi,41,0
Altizonu,Haram,42,0
Haram,Harim,27,0
Haram,Apaydin,25,0
Harim,Jebel_Saman,50,0
Idleb,Zerbeh,36,0
Zerbeh,Jebel_Saman,28,0
Idleb,As_Safira,64,0
Jebel_Saman,As_Safira,48,0
Al_Mara,Abu_Adh_Dhuhur,29,0
Abu_Adh_Dhuhur,As_Safira,48,0
Altizonu,Apaydin,28,0
Menbij,Al_Ghamamiz,27,0
Al_Ghamamiz,Ithriyah,91,0
Ithriyah,Rahjan,34,0
Rahjan,As_Salamiyeh,18,0
Menbij,Dayr_Hafir,39,0
Dayr_Hafir,Jebel_Saman,62,0
Dayr_Hafir,As_Safira,70,0
Menbij,Dayr_Hafir,37,0
Menbij,Ath_Thawrah,97,0
Rahjan,Abu_Adh_Dhuhur,69,0
Al_Bab,Jebel_Saman,45,0
Al_Bab,Azaz,66,0
Al_Bab,Elbeyli_Besiriye,42,0
Azaz,Jebel_Saman,58,0
Azaz,Oncupinar,10,0
Azaz,Elbeyli_Besiriye,45,0
Azaz,Afrin,55,0
Afrin,Rajo,21,0
Rajo,Azaz,50,0
Rajo,Jindires,45,0
Jindires,Harim,35,0
Jindires,Azaz,50,0
Jindires,Jebel_Saman,64,0
Jindires,Haram,53,0
Al_Bab,Jarablus,86,0
Karkamis,Jarablus,5,0
Afrin,Islahiye,47,0
Islahiye,Cevdetiye,74,0
Saricam,Ceyhan,38,0
Ceyhan,Cevdetiye,53,0
Merkez_K,Nudagi,61,0
Nudagi,Cevdetiye,80,0
Nudagi,Islahiye,31,0
Karkamis,Nizip_2,38,0
Merkez_K,Gaziantep,86,0
Gaziantep,Nizip_2,73,0
Merkez_A,Kuyulu,43,0
Kuyulu,Nizip_2,92,0
Karkamis,Nizip_1,38,0
Gaziantep,Nizip_1,73,0
Kuyulu,Nizip_1,92,0
Gaziantep,Oncupinar,79,0
Gaziantep,Golbasi,125,0
Gaziantep,Elbeyli_Besiriye,68,0
Merkez_K,Golbasi,92,0
Golbasi,Merkez_A,66,0
Merkez_A,Beydagi,116,0
Golbasi,Beydagi,125,0
Tadmor,As_Sukhnah,78,0
As_Sukhnah,Resafa,99,0
Resafa,Ath_Thawrah,71,0
