Day,Date,Ningi_West sim,Ningi_West data,Ningi_West error,Ningi_East sim,Ningi_East data,Ningi_East error,Gongola sim,Gongola data,Gongola error,Danina sim,Danina data,Danina error,Filin_Shagari sim,Filin_Shagari data,Filin_Shagari error,Masallacin_Idi sim,Masallacin_Idi data,Masallacin_Idi error,Katirje sim,Katirje data,Katirje error,Kyawawa sim,Kyawawa data,Kyawawa error,Ariya sim,Ariya data,Ariya error,Kore sim,Kore data,Kore error,Kubdiya sim,Kubdiya data,Kubdiya error,Nasarawa sim,Nasarawa data,Nasarawa error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,2022-08-01,885,0,0.0,849,0,0.0,183,0,0.0,434,0,0.0,779,0,0.0,1834,0,0.0,210,0,0.0,799,0,0.0,922,0,0.0,66,0,0.0,1429,0,0.0,653,0,0.0,0.0,0,10152,0,9043,0
1,2022-08-02,1976,0,0.0,1864,0,0.0,183,0,0.0,926,0,0.0,778,0,0.0,1831,1,1830.0,210,0,0.0,799,0,0.0,2302,0,0.0,184,0,0.0,2857,0,0.0,653,0,0.0,0.0,0,20304,0,14563,0
2,2022-08-03,3323,0,0.0,2857,0,0.0,183,0,0.0,1417,0,0.0,778,0,0.0,1830,1,1829.0,210,0,0.0,799,0,0.0,3281,0,0.0,594,0,0.0,4284,0,0.0,653,0,0.0,0.0,0,30447,0,20209,0
3,2022-08-04,4662,0,0.0,3815,0,0.0,182,0,0.0,1921,0,0.0,778,1,777.0,1829,1,1828.0,210,0,0.0,799,0,0.0,4305,0,0.0,990,0,0.0,4676,0,0.0,652,0,0.0,0.0,0,39479,0,24819,0
4,2022-08-05,5835,0,0.0,4072,0,0.0,182,0,0.0,2071,0,0.0,776,1,775.0,1829,1,1828.0,210,0,0.0,798,0,0.0,5359,0,0.0,2119,0,0.0,5206,0,0.0,651,0,0.0,0.0,0,48260,0,29108,0
5,2022-08-06,6943,0,0.0,4447,0,0.0,182,0,0.0,2248,0,0.0,776,1,775.0,1827,1,1826.0,210,0,0.0,796,0,0.0,6434,0,0.0,3080,0,0.0,5746,0,0.0,651,0,0.0,0.0,0,57041,0,33340,0
6,2022-08-07,8113,0,0.0,4799,0,0.0,182,0,0.0,2445,0,0.0,776,1,775.0,1823,1,1822.0,210,0,0.0,795,0,0.0,7505,0,0.0,3347,0,0.0,6328,0,0.0,651,0,0.0,0.0,0,64545,0,36974,0
7,2022-08-08,9273,0,0.0,5213,0,0.0,182,0,0.0,2643,0,0.0,776,2,387.0,1820,1,1819.0,210,0,0.0,793,0,0.0,8381,0,0.0,3694,0,0.0,6532,0,0.0,650,0,0.0,0.0,0,70956,0,40167,0
8,2022-08-09,10172,0,0.0,5366,0,0.0,182,0,0.0,2730,0,0.0,774,2,386.0,1818,2,908.0,209,0,0.0,793,0,0.0,9230,0,0.0,3846,0,0.0,6764,0,0.0,650,0,0.0,0.0,0,77213,0,42534,0
9,2022-08-10,11099,0,0.0,5505,0,0.0,182,0,0.0,2816,0,0.0,772,2,385.0,1817,2,907.5,209,0,0.0,793,0,0.0,10045,0,0.0,4000,0,0.0,7008,0,0.0,649,0,0.0,0.0,0,83470,0,44895,0
10,2022-08-11,11491,0,0.0,5691,0,0.0,182,0,0.0,2921,0,0.0,772,3,256.3333,1814,2,906.0,209,0,0.0,793,0,0.0,10822,0,0.0,4171,0,0.0,7265,0,0.0,649,0,0.0,0.0,0,89277,0,46780,0
