Day,Tierkidi sim,Tierkidi data,Tierkidi error,Kakuma sim,Kakuma data,Kakuma error,Khartoum sim,Khartoum data,Khartoum error,West_Kordofan sim,West_Kordofan data,West_Kordofan error,Adjumani sim,Adjumani data,Adjumani error,Rhino sim,Rhino data,Rhino error,Kiryandongo sim,Kiryandongo data,Kiryandongo error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0
1,0,0.0,0.0,0,109,1.0,0,0,0.0,0,46,1.0,0,694,1.0,0,77,1.0,0,3,1.0,1.0,929,929,929,0,0
2,0,0.0,0.0,0,162,1.0,0,0,0.0,0,93,1.0,6,1388,0.995677233429,4,108,0.962962962963,0,3,1.0,0.9942987457240593,1754,1754,1754,10,0
3,0,0.0,0.0,0,179,1.0,0,1,1.0,0,140,1.0,23,2083,0.988958233317,14,118,0.881355932203,5,36,0.861111111111,0.9835745013687915,2557,2557,2557,42,0
4,0,0.0,0.0,5,190,0.973684210526,0,1,1.0,0,187,1.0,49,2777,0.982355059417,29,171,0.830409356725,16,67,0.761194029851,0.9708222811671088,3393,3393,3393,99,0
5,0,0.0,0.0,8,239,0.966527196653,0,2,1.0,0,234,1.0,79,3472,0.977246543779,55,178,0.691011235955,35,84,0.583333333333,0.9579472558802566,4209,4209,4209,177,0
6,0,0.0,0.0,12,252,0.952380952381,0,2,1.0,0,281,1.0,124,4166,0.970235237638,78,268,0.708955223881,44,124,0.645161290323,0.9493422344394267,5093,5093,5093,258,0
7,0,0.0,0.0,21,301,0.93023255814,0,3,1.0,0,327,1.0,185,4860,0.961934156379,113,291,0.611683848797,54,142,0.619718309859,0.937035786630655,5924,5924,5924,373,0
8,0,0.0,0.0,30,350,0.914285714286,0,3,1.0,0,374,1.0,241,5555,0.956615661566,144,418,0.655502392344,72,241,0.701244813278,0.9298371992508284,6941,6941,6941,487,0
9,0,0.0,0.0,47,358,0.868715083799,0,4,1.0,0,421,1.0,312,6249,0.950072011522,196,733,0.732605729877,88,356,0.752808988764,0.9208225587981775,8121,8121,8121,643,0
10,0,0.0,0.0,68,461,0.852494577007,0,4,1.0,0,468,1.0,386,6944,0.944412442396,249,869,0.713463751438,115,441,0.739229024943,0.9109611407423533,9187,9187,9187,818,0
11,0,0.0,0.0,85,663,0.871794871795,0,5,1.0,0,515,1.0,491,7638,0.935716156062,317,966,0.671842650104,140,495,0.717171717172,0.899533164753939,10282,10282,10282,1033,0
12,0,0.0,0.0,110,716,0.846368715084,0,5,1.0,0,562,1.0,591,8332,0.929068650984,370,1029,0.640427599611,169,560,0.698214285714,0.8893252409853624,11204,11204,11204,1240,0
13,0,0.0,0.0,145,734,0.802452316076,0,6,1.0,0,608,1.0,714,9027,0.920903954802,440,1191,0.630562552477,196,643,0.695178849145,0.8775493488410189,12209,12209,12209,1495,0
14,0,0.0,0.0,171,894,0.808724832215,0,6,1.0,0,655,1.0,828,9721,0.914823577821,521,1471,0.645819170632,222,692,0.679190751445,0.8703772602128135,13439,13439,13439,1742,0
15,0,0.0,0.0,234,1056,0.778409090909,0,7,1.0,0,702,1.0,949,10416,0.908890168971,592,1737,0.659182498561,264,710,0.628169014085,0.8606097894449002,14628,14628,14628,2039,0
16,0,0.0,0.0,276,1323,0.791383219955,0,7,1.0,0,749,1.0,1086,11110,0.902250225023,690,2637,0.738339021615,310,726,0.573002754821,0.8572982116964717,16552,16552,16552,2362,0
17,0,0.0,0.0,322,1616,0.800742574257,0,8,1.0,0,796,1.0,1269,11805,0.89250317662,811,2369,0.657661460532,353,793,0.554854981084,0.841548283200092,17387,17387,17387,2755,0
18,0,0.0,0.0,373,2044,0.817514677104,0,8,1.0,0,843,1.0,1408,12499,0.887350988079,911,2690,0.661338289963,386,918,0.579520697168,0.838017050836754,19002,19002,19002,3078,0
19,0,0.0,0.0,438,2145,0.795804195804,0,9,1.0,0,889,1.0,1585,13193,0.8798605321,1038,3016,0.655835543767,424,1003,0.577268195414,0.8279437176005925,20255,20255,20255,3485,0
20,0,0.0,0.0,496,2523,0.803408640507,0,9,1.0,0,936,1.0,1755,13888,0.873631912442,1176,3251,0.638265149185,485,1070,0.546728971963,0.8195322230936015,21677,21677,21677,3912,0
21,0,0.0,0.0,608,2993,0.796859338456,0,10,1.0,0,983,1.0,1951,14582,0.866204910163,1309,3590,0.635376044568,535,1097,0.512306289881,0.8106643732530638,23255,23255,23255,4403,0
22,0,0.0,0.0,702,3638,0.807036833425,0,10,1.0,0,1030,1.0,2129,15277,0.860640178045,1439,3715,0.61265141319,586,1187,0.506318449874,0.8046425554169852,24857,24857,24857,4856,0
