#name1,name2,distance
Eeba,Shashemene,350
Eeba,Semera,349
Kaboobe,Hargele,349
Haarcad,Raranle,348
Anshokala_Hiro,Berta,347
Eyole,Hargele,346
Berta,Shashemene,346
Andido,Mender_Simint,346
Konta,Shashemene,345
Bur_Gaabo,Kebele,344
Gan,Waladaya_Gabare,342
Bundada_Flash_Flood,Siigo-Dher,342
Mirdhis,Siigo-Dher,342
Anshokala_Hiro,Konta,342
Anshokala_Hiro,China_Camp,341
Gan,Haarcad,340
Bundada_Flash_Flood,Bur_Gaabo,340
China_Camp,Shashemene,339
Hobane_Laman,Konta,339
China_Camp,Semera,339
Dharkaynwayd,Shabelle_Zone,338
Andido,Sediha_Holhol,338
Hassoba,Semera,338
Hilo-Nagod,Kebele,338
Bale,Shashogo,338
Bur-Shakadi,Dharkaynwayd,337
East_Imi_Town,Kebridehar,337
Dharkaynwayd,Qudhac_Dher,336
East_Imi_Town,Mustahil,336
Kebele,Kelafo,333
Bundada_Flash_Flood,Qudhacle,333
Bur_Dheedi,Hargele,333
Mirdhis,Qudhacle,333
Chefa_Keransa,Konta,333
Dharkaynwayd,Lo_Dabal,333
Bundada_Flash_Flood,Kabhanle,332
Kabhanle,Mirdhis,331
Dharkaynwayd,Gashantimo,331
Albula_Lencha,Gelcha,331
Bundada_Flash_Flood,Xidigta,330
Mirdhis,Xidigta,330
Sanbate_Shalla,Konta,330
Oda_Nagele,Dawuro,330
Bundada_Flash_Flood,Libahle,330
Libahle,Mirdhis,330
Bur_Dheedi,Kebridehar,330
Kullo,Dawuro,329
Daba_Katuur,Haarcad,329
Chiticha_Kuntufa,Gelcha,328
Fandde_Ejersa,Gelcha,327
Siigo-Dher,Kebridehar,327
Danyere,East_Imi_Town,327
Mustahil,Siigo-Dher,326
Gambella,Konta,326
Gelcha,Sade_Guge,326
Budul,East_Imi_Town,324
Melokoza,Shashemene,323
Korbeti,Konta,323
Albula_Lencha,Konta,323
Chiticha_Kuntufa,Konta,323
Konta,Shashogo,323
