age,Default,Aba,Burra,Doka,Idu,Kosofe
54,0.00615 ,0.00724 ,0.00533 ,0.00508 ,0.00441 ,0.00575 
55,0.00286 ,0.00414 ,0.00209 ,0.00252 ,0.00234 ,0.00358 
56,0.00286 ,0.00414 ,0.00209 ,0.00252 ,0.00234 ,0.00358 
57,0.00286 ,0.00414 ,0.00209 ,0.00252 ,0.00234 ,0.00358 
58,0.00286 ,0.00414 ,0.00209 ,0.00252 ,0.00234 ,0.00358 
59,0.00286 ,0.00414 ,0.00209 ,0.00252 ,0.00234 ,0.00358 
60,0.00357 ,0.00423 ,0.00298 ,0.00268 ,0.00163 ,0.00270 
61,0.00357 ,0.00423 ,0.00298 ,0.00268 ,0.00163 ,0.00270 
62,0.00357 ,0.00423 ,0.00298 ,0.00268 ,0.00163 ,0.00270 
63,0.00357 ,0.00423 ,0.00298 ,0.00268 ,0.00163 ,0.00270 
64,0.00357 ,0.00423 ,0.00298 ,0.00268 ,0.00163 ,0.00270 
65,0.00164 ,0.00247 ,0.00112 ,0.00126 ,0.00090 ,0.00157 
66,0.00164 ,0.00247 ,0.00112 ,0.00126 ,0.00090 ,0.00157 
67,0.00164 ,0.00247 ,0.00112 ,0.00126 ,0.00090 ,0.00157 
68,0.00164 ,0.00247 ,0.00112 ,0.00126 ,0.00090 ,0.00157 
69,0.00164 ,0.00247 ,0.00112 ,0.00126 ,0.00090 ,0.00157 
70,0.00193 ,0.00246 ,0.00175 ,0.00158 ,0.00076 ,0.00115 
71,0.00193 ,0.00246 ,0.00175 ,0.00158 ,0.00076 ,0.00115 
72,0.00193 ,0.00246 ,0.00175 ,0.00158 ,0.00076 ,0.00115 
73,0.00193 ,0.00246 ,0.00175 ,0.00158 ,0.00076 ,0.00115 
74,0.00193 ,0.00246 ,0.00175 ,0.00158 ,0.00076 ,0.00115 
75,0.00079 ,0.00131 ,0.00068 ,0.00071 ,0.00039 ,0.00061 
76,0.00079 ,0.00131 ,0.00068 ,0.00071 ,0.00039 ,0.00061 
77,0.00079 ,0.00131 ,0.00068 ,0.00071 ,0.00039 ,0.00061 
78,0.00079 ,0.00131 ,0.00068 ,0.00071 ,0.00039 ,0.00061 
79,0.00079 ,0.00131 ,0.00068 ,0.00071 ,0.00039 ,0.00061 
80,0.00107 ,0.00133 ,0.00110 ,0.00104 ,0.00050 ,0.00061 
81,0.00107 ,0.00133 ,0.00110 ,0.00104 ,0.00050 ,0.00061 
82,0.00107 ,0.00133 ,0.00110 ,0.00104 ,0.00050 ,0.00061 
83,0.00107 ,0.00133 ,0.00110 ,0.00104 ,0.00050 ,0.00061 
84,0.00107 ,0.00133 ,0.00110 ,0.00104 ,0.00050 ,0.00061 
85,0.00100 ,0.00141 ,0.00092 ,0.00111 ,0.00058 ,0.00061 
86,0.00100 ,0.00141 ,0.00092 ,0.00111 ,0.00058 ,0.00061 
87,0.00100 ,0.00141 ,0.00092 ,0.00111 ,0.00058 ,0.00061 
88,0.00100 ,0.00141 ,0.00092 ,0.00111 ,0.00058 ,0.00061 
89,0.00100 ,0.00141 ,0.00092 ,0.00111 ,0.00058 ,0.00061 
90,0.00100 ,0.00141 ,0.00092 ,0.00111 ,0.00058 ,0.00061 
