#closure_type,name1,name2,closure_start,closure_end
location,Logone_et_Chari,Cameroon,0,1067
location,Mayo_Sava,Cameroon,0,1067
location,Mayo_Tsanaga,Cameroon,0,1067
location,Maradi,Niger,0,1217
