#name1,#name2,distance,forced_redirection
Ibesikpo Asutan,Nsit Atai,16.27,0
Ibiono Ibom,Ikono,19.96,0
Ibiono Ibom,Itu,16.75,0
Ibiono Ibom,Ikot Ekpene,23.89,0
Ika,Ukanafun,23.2,0
Ikono,Ikot Ekpene,11.81,0
Ikono,Essien Udim,23.41,0
Ikot Abasi,Opobo - Nkoro,65.07,0
Ikot Abasi,Mkpat Enin,26.01,0
Ikot Ekpene,Obot Akara,23.17,0
Ini,Ikwuano,34.88,0
Ini,Obot Akara,35.4,0
Itu,Uyo,33.79,0
Itu,Uruan,47.47,0
Mbo,Udung Uko,16.7,0
Mbo,Urue-Offong/Oruko,15.26,0
Mbo,Oron,22.3,0
Mkpat Enin,Onna,17.09,0
Mkpat Enin,Oruk Anam,22.78,0
Nsit Atai,Nsit Ubium,13.52,0
Nsit Atai,Okobo,17.43,0
Nsit Ibom,Uyo,24.54,0
Obot Akara,Isiala-Ngwa North,23.53,0
Okobo,Urue-Offong/Oruko,22.23,0
Okobo,Oron,15.32,0
Onna,Nsit Ubium,22.88,0
Oron,Udung Uko,9.64,0
Oron,Calabar South,34.1,0
Oruk Anam,Ukanafun,13.37,0
Udung Uko,Urue-Offong/Oruko,12.94,0
Uruan,Uyo,12.85,0
Uruan,Ibesikpo Asutan,16.99,0
Aguata,Nnewi South,21.9,0
Aguata,Orumba South,26.78,0
Aguata,Anaocha,20.01,0
Anambra East,Oyi,15.26,0
Anambra East,Dunukofia,15.96,0
Anambra East,Njikoka,20.25,0
Anambra West,Ayamelum,53.94,0
Anambra West,Anambra East,30.1,0
Anambra West,Oshimili North,81.03,0
Anaocha,Njikoka,15.92,0
Anaocha,Awka South,16.23,0
Awka North,Dunukofia,57.94,0
Awka North,Awka South,41.14,0
Awka North,Njikoka,49.89,0
Awka South,Njikoka,17.36,0
Awka South,Orumba North,29.11,0
Ayamelum,Awka North,47.63,0
Ayamelum,Anambra East,29.0,0
Dunukofia,Oyi,11.92,0
Dunukofia,Njikoka,11.82,0
Ekwusigo,Nnewi North,11.43,0
Ekwusigo,Idemili South,13.03,0
Ekwusigo,Ogbaru,29.97,0
Idemili North,Idemili South,22.1,0
Idemili North,Onitsha North,10.9,0
Idemili North,Oyi,15.58,0
Idemili South,Onitsha North,13.71,0
Ihiala,Oru West,15.81,0
Ihiala,Orsu,14.22,0
Ihiala,Ogbaru,22.97,0
Njikoka,Oyi,16.33,0
Nnewi North,Nnewi South,13.13,0
Nnewi North,Idemili South,12.65,0
Nnewi South,Orsu,15.91,0
Ogbaru,Idemili South,40.82,0
Onitsha North,Onitsha South,4.55,0
Onitsha North,Oshimili South,14.4,0
