Day,Tierkidi sim,Tierkidi data,Tierkidi error,Kakuma sim,Kakuma data,Kakuma error,Khartoum sim,Khartoum data,Khartoum error,West_Kordofan sim,West_Kordofan data,West_Kordofan error,Adjumani sim,Adjumani data,Adjumani error,Rhino sim,Rhino data,Rhino error,Kiryandongo sim,Kiryandongo data,Kiryandongo error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0
1,0,0.0,0.0,0,109,1.0,0,0,0.0,0,46,1.0,0,694,1.0,0,77,1.0,0,3,1.0,1.0,929,929,929,0,0
2,0,0.0,0.0,0,162,1.0,0,0,0.0,0,93,1.0,10,1388,0.992795389049,2,108,0.981481481481,0,3,1.0,0.9931584948688712,1754,1754,1754,12,0
3,0,0.0,0.0,0,179,1.0,0,1,1.0,0,140,1.0,24,2083,0.988478156505,7,118,0.940677966102,3,36,0.916666666667,0.986703167774736,2557,2557,2557,34,0
4,0,0.0,0.0,3,190,0.984210526316,0,1,1.0,0,187,1.0,46,2777,0.983435361901,18,171,0.894736842105,9,67,0.865671641791,0.9776009431181845,3393,3393,3393,76,0
5,0,0.0,0.0,12,239,0.949790794979,0,2,1.0,0,234,1.0,85,3472,0.97551843318,42,178,0.76404494382,13,84,0.845238095238,0.9638869090045141,4209,4209,4209,152,0
6,0,0.0,0.0,20,252,0.920634920635,0,2,1.0,0,281,1.0,129,4166,0.969035045607,65,268,0.757462686567,20,124,0.838709677419,0.9540545847241312,5093,5093,5093,234,0
7,0,0.0,0.0,29,301,0.90365448505,0,3,1.0,0,327,1.0,177,4860,0.963580246914,97,291,0.666666666667,37,142,0.739436619718,0.9426063470627954,5924,5924,5924,340,0
8,0,0.0,0.0,39,350,0.888571428571,0,3,1.0,0,374,1.0,236,5555,0.957515751575,158,418,0.622009569378,54,241,0.775933609959,0.9298371992508284,6941,6941,6941,487,0
9,0,0.0,0.0,52,358,0.854748603352,0,4,1.0,0,421,1.0,312,6249,0.950072011522,197,733,0.731241473397,78,356,0.780898876404,0.921315108976727,8121,8121,8121,639,0
10,0,0.0,0.0,77,461,0.832971800434,0,4,1.0,0,468,1.0,390,6944,0.94383640553,247,869,0.715765247411,94,441,0.786848072562,0.9120496353543049,9187,9187,9187,808,0
11,0,0.0,0.0,97,663,0.853695324284,0,5,1.0,0,515,1.0,482,7638,0.936894474993,304,966,0.685300207039,124,495,0.749494949495,0.9020618556701031,10282,10282,10282,1007,0
12,0,0.0,0.0,127,716,0.822625698324,0,5,1.0,0,562,1.0,592,8332,0.928948631781,355,1029,0.655004859086,152,560,0.728571428571,0.8905747947161728,11204,11204,11204,1226,0
13,0,0.0,0.0,158,734,0.784741144414,0,6,1.0,0,608,1.0,699,9027,0.922565636424,430,1191,0.638958858102,179,643,0.721617418351,0.8799246457531329,12209,12209,12209,1466,0
14,0,0.0,0.0,194,894,0.782997762864,0,6,1.0,0,655,1.0,825,9721,0.915132188046,521,1471,0.645819170632,220,692,0.682080924855,0.8690378748418781,13439,13439,13439,1760,0
15,0,0.0,0.0,241,1056,0.77178030303,0,7,1.0,0,702,1.0,962,10416,0.907642089094,626,1737,0.639608520438,252,710,0.645070422535,0.8577385835384195,14628,14628,14628,2081,0
16,0,0.0,0.0,288,1323,0.78231292517,0,7,1.0,0,749,1.0,1093,11110,0.901620162016,731,2637,0.722791050436,294,726,0.595041322314,0.8546399226679555,16552,16552,16552,2406,0
17,0,0.0,0.0,327,1616,0.797648514851,0,8,1.0,0,796,1.0,1263,11805,0.893011435832,834,2369,0.647952722668,330,793,0.583858764187,0.8416057974348651,17387,17387,17387,2754,0
18,0,0.0,0.0,372,2044,0.818003913894,0,8,1.0,0,843,1.0,1399,12499,0.888071045684,945,2690,0.648698884758,369,918,0.598039215686,0.8376486685612041,19002,19002,19002,3085,0
19,0,0.0,0.0,429,2145,0.8,0,9,1.0,0,889,1.0,1598,13193,0.87887516107,1039,3016,0.65550397878,402,1003,0.599202392822,0.8287830165391261,20255,20255,20255,3468,0
20,0,0.0,0.0,490,2523,0.805786761792,0,9,1.0,0,936,1.0,1779,13888,0.871903801843,1167,3251,0.641033528145,451,1070,0.578504672897,0.8206855192139134,21677,21677,21677,3887,0
21,0,0.0,0.0,572,2993,0.808887403943,0,10,1.0,0,983,1.0,1975,14582,0.864559045398,1307,3590,0.635933147632,500,1097,0.544211485871,0.8127714470006451,23255,23255,23255,4354,0
22,0,0.0,0.0,668,3638,0.816382627817,0,10,1.0,0,1030,1.0,2169,15277,0.858021862931,1439,3715,0.61265141319,544,1187,0.541701769166,0.8060908396025265,24857,24857,24857,4820,0
