,niger,cameroon,chad
2016-03-01,0,0,0
2016-06-30,82524,65618,7337
2016-10-31,96940,73745,7917
2016-12-31,105491,86900,8596
2017-02-15,105491,86900,8596
2017-04-30,105491,94299,8649
2017-05-31,106200,90481,7800
2017-06-30,106200,91278,8343
2017-07-31,,92427,
2017-08-31,122595,92451,7400
2017-10-31,108470,88516,9191
2017-12-31,108470,89762,9541
2018-01-31,108470,83526,9541
2018-02-28,108470,85892,9537
2018-03-31,108470,87630,9933
2018-04-30,108470,93114,9933
2018-05-31,108470,94454,10255
2018-06-30,118868,95172,10294
2018-07-31,118868,96727,10964
2018-08-31,118868,97817,11009
2018-11-30,118781,101404,11319
2018-12-31,118781,101404,11319
2019-01-31,118781,102287,11310
2019-02-28,118868,138315,14894
2018-04-30,118868,104724,15915
2019-08-31,119541,97817,15999
2019-09-30,119541,118164,15999
2019-10-31,119541,108335,15999
2019-12-31,119541,109340,12158
2020-01-31,156058,111670,12723
2020-02-28,156058,112960,12828
2020-04-30,156802,114141,13900
2020-06-30,162961,115774,13947
2020-07-31,162961,115981,13947
2020-08-31,167588,116237,15489
2020-09-30,167588,116409,15621
2020-10-31,168081,116623,15483
2020-11-30,168081,116960,15843
2021-01-31,171013,117422,16127
2021-02-28,171974,118195,16231
2021-03-31,171974,115695,16294
2021-04-30,171974,115695,16294
